id,layer,rep,machine,day,year,month,,Photo,Cond,Ci,Tleaf,CO2R,PARi,Ci_Pa
indiangrass,,161,,,2010,6,,4.626222812,0.100865209,57.69109351,25.79423141,124.5216827,2040.223877,5.707725855
indiangrass,,161,,,2010,6,,2.793863635,0.113448518,38.86810677,25.77860832,75.20195007,2038.169312,3.845414566
indiangrass,,161,,,2010,6,,2.102050917,0.127768144,25.72021268,26.00358009,50.16830063,2033.510254,2.544612303
indiangrass,,161,,,2010,6,,1.462253949,0.136482315,18.64279617,25.80308914,34.66329956,2036.83252,1.844254456
indiangrass,,161,,,2010,6,,10.86828545,0.076181121,195.1659224,26.11268425,401.3439026,2039.478394,19.30725553
indiangrass,,161,,,2010,6,,16.12649092,0.06086484,418.0863911,26.53530312,800.8702393,2035.428833,41.35963451
indiangrass,,162,,,2010,6,,15.19462371,0.136969314,227.6143421,25.94700813,401.0916443,1997.82959,22.46590476
indiangrass,,162,,,2010,6,,13.21534996,0.117924858,128.9089203,25.97174644,299.5692749,1997.826782,12.7236759
indiangrass,,162,,,2010,6,,8.668641012,0.113937626,83.95977553,26.04917336,199.5419312,2002.858032,8.287277983
indiangrass,,162,,,2010,6,,5.654301787,0.11905814,52.62906783,26.13050652,124.9813004,2001.321655,5.194880725
indiangrass,,162,,,2010,6,,3.547390278,0.123316957,30.34241417,26.1859684,74.21244049,1999.902222,2.995158011
indiangrass,,162,,,2010,6,,2.01591205,0.125547501,24.47762819,26.19893265,49.22758102,1999.697021,2.416205518
indiangrass,,162,,,2010,6,,1.464027027,0.128118747,17.91756532,26.05007744,35.55461502,2000.486938,1.768703278
indiangrass,,162,,,2010,6,,15.4542454,0.104609992,230.2955703,25.99959183,400.5545044,2002.932495,22.73308873
indiangrass,,162,,,2010,6,,15.545454,0.075268939,303.6995023,25.99424934,599.5033569,1999.171387,29.9783282
indiangrass,,162,,,2010,6,,16.82112721,0.062467123,397.6804503,26.04448128,800.276062,1999.610718,39.25306778
indiangrass,,163,,,2010,6,,13.84038249,0.120705867,238.5218116,25.46571541,400.8358154,1999.884155,23.52852836
indiangrass,,163,,,2010,6,,12.69394853,0.11413277,145.0861878,25.47125053,299.5020447,2000.257446,14.31093066
indiangrass,,163,,,2010,6,,8.891971513,0.111089155,88.99723716,25.65193176,199.5939484,1998.746704,8.777459796
indiangrass,,163,,,2010,6,,5.957947203,0.120591664,56.57099637,25.63134575,125.1778717,2001.078857,5.579215249
indiangrass,,163,,,2010,6,,3.277152075,0.125112745,36.98568816,25.76577568,73.66521454,1999.906738,3.647716035
indiangrass,,163,,,2010,6,,2.080047554,0.129233955,26.63870626,25.75142479,49.33341217,1999.859863,2.627333659
indiangrass,,163,,,2010,6,,1.361059644,0.130715027,20.66668923,25.74066544,35.46050262,2000.361694,2.038390348
indiangrass,,163,,,2010,6,,14.45244579,0.134329078,318.8329477,25.51794052,400.4015808,2002.260498,31.44645627
indiangrass,,163,,,2010,6,,14.87953983,0.101877581,391.5703233,25.66338158,599.4647827,1999.515625,38.6197733
indiangrass,,163,,,2010,6,,16.60553964,0.085555123,525.4781896,25.6122551,799.8158569,2000.381592,51.82976459
indiangrass,,164,,,2010,6,,13.14796062,0.169813677,288.7368331,25.80654335,400.0815735,2007.50354,28.45996347
indiangrass,,164,,,2010,6,,10.74187344,0.153652955,200.6930488,25.9970417,299.085083,2006.859253,19.7798547
indiangrass,,164,,,2010,6,,8.004082006,0.156960805,128.1944605,25.8549366,199.4983368,2008.785034,12.6339195
indiangrass,,164,,,2010,6,,5.107564358,0.16234566,80.81312799,25.65720558,124.9006119,2011.258179,7.965167356
