Wavelength,Reflectance,Transmittance
931,0.4051,0.5508
932,0.4037,0.55
933,0.404,0.55
934,0.4043,0.5492
935,0.4037,0.55
936,0.4034,0.5493
937,0.4041,0.5515
938,0.4045,0.5507
939,0.4044,0.549
940,0.4042,0.551
941,0.4037,0.5512
942,0.4032,0.5513
943,0.4049,0.5512
944,0.404,0.5513
945,0.4028,0.5507
946,0.4028,0.5508
947,0.404,0.5508
948,0.4033,0.5507
949,0.4033,0.5508
950,0.4029,0.5513
951,0.4017,0.5506
952,0.4029,0.5508
953,0.4032,0.5502
954,0.4023,0.55
955,0.4019,0.5495
956,0.4027,0.549
957,0.403,0.5501
958,0.4022,0.5485
959,0.4022,0.5491
960,0.4024,0.5498
961,0.4014,0.5494
962,0.401,0.5489
963,0.4008,0.5491
964,0.401,0.5483
965,0.4013,0.5489
966,0.4017,0.5485
967,0.4018,0.549
968,0.4011,0.5504
969,0.4004,0.5504
970,0.3998,0.5491
971,0.4006,0.5482
972,0.4006,0.548
973,0.4001,0.5488
974,0.4014,0.5488
975,0.4013,0.5493
976,0.4006,0.5496
977,0.4012,0.5494
978,0.4016,0.5501
979,0.402,0.5501
980,0.4005,0.5493
981,0.4004,0.5494
982,0.4014,0.5494
983,0.4012,0.5495
984,0.4009,0.55
985,0.4006,0.5498
986,0.4005,0.5502
987,0.4003,0.5505
988,0.4018,0.5491
989,0.4007,0.5498
990,0.4012,0.5505
991,0.4009,0.5504
992,0.4014,0.5502
993,0.4021,0.5507
994,0.4011,0.5517
995,0.4013,0.5501
996,0.4014,0.5498
997,0.4014,0.5509
998,0.4011,0.5514
999,0.4009,0.5508
1000,0.4013,0.5503
1001,0.4027,0.5522
1002,0.4018,0.5508
1003,0.4015,0.5512
1004,0.4008,0.5498
1005,0.4012,0.5509
1006,0.4027,0.5509
1007,0.4022,0.5517
1008,0.4017,0.5521
1009,0.4021,0.5515
1010,0.4016,0.5519
1011,0.4015,0.5517
1012,0.4018,0.5522
1013,0.4024,0.5529
1014,0.4026,0.5526
1015,0.4017,0.5517
1016,0.4024,0.5518
1017,0.4031,0.5518
1018,0.4029,0.5531
1019,0.4026,0.5521
1020,0.4028,0.5526
1021,0.4022,0.5525
1022,0.4032,0.5516
1023,0.4025,0.5521
1024,0.4022,0.5538
1025,0.4022,0.5529
1026,0.4019,0.5525
1027,0.402,0.5535
1028,0.4027,0.5534
1029,0.4021,0.5519
1030,0.4017,0.5529
1031,0.4033,0.554
1032,0.4021,0.5537
1033,0.4031,0.5532
1034,0.4023,0.552
1035,0.4029,0.5537
1036,0.4029,0.5535
1037,0.4029,0.5534
1038,0.403,0.5543
1039,0.4036,0.5539
1040,0.4025,0.5533
1041,0.4017,0.5538
1042,0.4021,0.5538
1043,0.4026,0.5546
1044,0.4034,0.5539
1045,0.4029,0.5545
1046,0.4034,0.5546
1047,0.4028,0.5537
1048,0.4033,0.5543
1049,0.4028,0.5536
1050,0.4029,0.5548
1051,0.4029,0.5539
1052,0.4035,0.5552
1053,0.4028,0.5546
1054,0.4029,0.5543
1055,0.4032,0.555
1056,0.4032,0.5543
1057,0.4033,0.5548
1058,0.4031,0.5548
1059,0.4025,0.554
1060,0.4026,0.5553
1061,0.4026,0.5545
1062,0.404,0.5559
1063,0.4036,0.5556
1064,0.4034,0.5546
1065,0.4044,0.555
1066,0.4033,0.5544
1067,0.4035,0.5544
1068,0.4033,0.5559
1069,0.4026,0.5555
1070,0.403,0.5555
1071,0.4023,0.5562
1072,0.4026,0.5547
1073,0.4028,0.5556
1074,0.4037,0.5552
1075,0.4031,0.556
1076,0.4028,0.5555
1077,0.4027,0.5555
1078,0.4025,0.5559
1079,0.402,0.5557
1080,0.4033,0.5553
1081,0.403,0.556
1082,0.404,0.5559
1083,0.4034,0.5552
1084,0.4032,0.5556
1085,0.4045,0.5563
1086,0.4031,0.5565
1087,0.403,0.5568
1088,0.4037,0.5565
1089,0.4035,0.5565
1090,0.403,0.5564
1091,0.4021,0.557
1092,0.4026,0.5563
1093,0.4029,0.5565
1094,0.4025,0.5567
1095,0.4024,0.5569
1096,0.4017,0.5566
1097,0.4025,0.5562
1098,0.4025,0.5572
1099,0.4025,0.5565
1100,0.4033,0.5558
1101,0.4021,0.5567
1102,0.4022,0.5555
1103,0.4026,0.556
1104,0.4021,0.5554
1105,0.4014,0.5556
1106,0.4018,0.5561
1107,0.4021,0.5559
1108,0.4024,0.5553
1109,0.4023,0.555
1110,0.4016,0.5544
1111,0.4017,0.5545
1112,0.4018,0.5548
1113,0.4011,0.5555
1114,0.401,0.5552
1115,0.4024,0.5554
1116,0.4013,0.5558
1117,0.4012,0.5556
1118,0.4017,0.556
1119,0.4021,0.5559
1120,0.4017,0.5554
1121,0.4028,0.5561
1122,0.4014,0.5562
1123,0.4006,0.5564
1124,0.4009,0.5556
1125,0.4012,0.5564
1126,0.4018,0.5561
1127,0.4006,0.5558
1128,0.4003,0.5558
1129,0.3999,0.556
1130,0.4003,0.5557
1131,0.4007,0.5552
1132,0.4007,0.5548
1133,0.4007,0.5557
1134,0.3996,0.5559
1135,0.3993,0.5553
1136,0.3978,0.5546
1137,0.3983,0.5536
1138,0.3979,0.554
1139,0.3971,0.553
1140,0.3964,0.5532
1141,0.3963,0.5518
1142,0.3972,0.5515
1143,0.3966,0.5519
1144,0.3964,0.5521
1145,0.3957,0.5521
1146,0.3954,0.5522
1147,0.3955,0.5514
1148,0.395,0.5505
1149,0.3939,0.551
1150,0.3943,0.5513
1151,0.3942,0.5508
1152,0.3932,0.5497
1153,0.394,0.55
1154,0.3934,0.5494
1155,0.3925,0.5489
1156,0.392,0.5497
1157,0.3922,0.5491
1158,0.3916,0.5481
1159,0.3916,0.5482
1160,0.3917,0.5481
1161,0.3917,0.549
1162,0.3923,0.5479
1163,0.3917,0.5484
1164,0.3918,0.5481
1165,0.3909,0.5481
1166,0.391,0.5488
1167,0.3904,0.5479
1168,0.3913,0.5479
1169,0.3908,0.5475
1170,0.3901,0.5469
1171,0.3909,0.5469
1172,0.3918,0.5469
1173,0.3908,0.5474
1174,0.3907,0.5476
1175,0.3909,0.5473
1176,0.3912,0.5477
1177,0.3901,0.5477
1178,0.3907,0.5475
1179,0.3908,0.5468
1180,0.3898,0.5475
1181,0.3891,0.5462
1182,0.3902,0.5461
1183,0.3889,0.5455
1184,0.3895,0.5459
1185,0.3905,0.5461
1186,0.3903,0.5452
1187,0.3906,0.5457
1188,0.3896,0.5455
1189,0.3875,0.5452
1190,0.3887,0.5454
1191,0.3897,0.5468
1192,0.3896,0.5479
1193,0.3898,0.5465
1194,0.3889,0.5474
1195,0.3902,0.5469
1196,0.3905,0.5468
1197,0.3904,0.5473
1198,0.3901,0.5473
1199,0.3893,0.5464
1200,0.3889,0.548
1201,0.3884,0.5466
1202,0.389,0.5464
1203,0.39,0.5473
1204,0.3898,0.5469
1205,0.3888,0.5466
1206,0.3902,0.5466
1207,0.3902,0.5471
1208,0.3893,0.5467
1209,0.3895,0.547
1210,0.3893,0.5467
1211,0.3895,0.5469
1212,0.3895,0.5476
1213,0.3894,0.5478
1214,0.3904,0.5479
1215,0.3905,0.5476
1216,0.3899,0.5478
1217,0.3891,0.5476
1218,0.3889,0.5476
1219,0.3897,0.5482
1220,0.3894,0.5474
1221,0.3894,0.5482
1222,0.3889,0.5488
1223,0.3898,0.5481
1224,0.3901,0.5476
1225,0.3903,0.5483
1226,0.3904,0.5488
1227,0.3903,0.5494
1228,0.3898,0.549
1229,0.39,0.5499
1230,0.3906,0.549
1231,0.3905,0.5497
1232,0.39,0.5496
1233,0.3909,0.55
1234,0.3908,0.5498
1235,0.3903,0.5502
1236,0.3903,0.549
1237,0.3903,0.5498
1238,0.39,0.5502
1239,0.3913,0.5501
1240,0.3905,0.5508
1241,0.3906,0.5507
1242,0.3915,0.5509
1243,0.3908,0.5497
1244,0.3913,0.5501
1245,0.3917,0.5509
1246,0.3912,0.5511
1247,0.3911,0.5509
1248,0.3912,0.5505
1249,0.391,0.5512
1250,0.3912,0.5507
1251,0.3909,0.5507
1252,0.3907,0.5516
1253,0.3909,0.5512
1254,0.3908,0.5508
1255,0.3904,0.551
1256,0.3913,0.5521
1257,0.3919,0.5523
1258,0.3904,0.551
1259,0.3913,0.552
1260,0.3915,0.5526
1261,0.3909,0.5522
1262,0.3912,0.552
1263,0.3921,0.552
1264,0.391,0.5516
1265,0.391,0.5517
1266,0.3913,0.552
1267,0.3916,0.552
1268,0.3914,0.5527
1269,0.3907,0.5508
1270,0.3911,0.5515
1271,0.391,0.5517
1272,0.3904,0.5512
1273,0.3908,0.5521
1274,0.3908,0.553
1275,0.3909,0.5512
1276,0.3913,0.5508
1277,0.3903,0.552
1278,0.3911,0.5516
1279,0.3912,0.5522
1280,0.3906,0.5516
1281,0.3908,0.5523
1282,0.3903,0.5516
1283,0.3914,0.5522
1284,0.3904,0.5517
1285,0.391,0.552
1286,0.3905,0.5515
1287,0.3909,0.5519
1288,0.3903,0.5517
1289,0.3903,0.5518
1290,0.391,0.552
1291,0.3899,0.5518
1292,0.3904,0.5518
1293,0.3906,0.5509
1294,0.3909,0.5508
1295,0.3904,0.5502
1296,0.3905,0.5513
1297,0.3901,0.5503
1298,0.3897,0.5506
1299,0.3889,0.5503
1300,0.3885,0.5496
1301,0.3883,0.5492
1302,0.3887,0.5489
1303,0.3887,0.55
1304,0.3892,0.55
1305,0.3884,0.5508
1306,0.3885,0.5507
1307,0.3877,0.5497
1308,0.3881,0.5495
1309,0.3885,0.5491
1310,0.3876,0.5486
1311,0.3866,0.5485
1312,0.3859,0.5473
1313,0.3865,0.5475
1314,0.3862,0.548
1315,0.3859,0.5473
1316,0.3855,0.5472
1317,0.3849,0.547
1318,0.385,0.5472
1319,0.3846,0.5464
1320,0.3841,0.5455
1321,0.3843,0.5465
1322,0.3839,0.5466
1323,0.3836,0.5448
1324,0.3835,0.5458
1325,0.3832,0.5452
1326,0.3831,0.5448
1327,0.3817,0.5438
1328,0.3812,0.544
1329,0.3806,0.5439
1330,0.3803,0.5431
1331,0.3807,0.5427
1332,0.3804,0.5426
1333,0.3799,0.5419
1334,0.3799,0.5424
1335,0.3787,0.5417
1336,0.3784,0.5415
1337,0.3786,0.5415
1338,0.3776,0.5403
1339,0.3775,0.5404
1340,0.3779,0.5392
1341,0.3766,0.5392
1342,0.3755,0.5392
1343,0.3753,0.5383
1344,0.3749,0.5373
1345,0.3738,0.5368
1346,0.374,0.537
1347,0.3741,0.5358
1348,0.3749,0.5365
1349,0.3735,0.5354
1350,0.3719,0.5342
1351,0.3724,0.5348
1352,0.3715,0.5344
1353,0.3715,0.5335
1354,0.3709,0.533
1355,0.3704,0.5323
1356,0.3695,0.532
1357,0.3694,0.532
1358,0.3688,0.5325
1359,0.3689,0.5331
1360,0.37,0.5332
1361,0.3694,0.534
1362,0.3685,0.5342
1363,0.3684,0.5344
1364,0.3671,0.5342
1365,0.367,0.533
1366,0.3671,0.5326
1367,0.3662,0.5322
1368,0.3658,0.5326
1369,0.3647,0.5314
1370,0.3644,0.5304
1371,0.3634,0.5289
1372,0.3618,0.5279
1373,0.3613,0.5254
1374,0.3604,0.523
1375,0.3577,0.5206
1376,0.3559,0.5209
