%global
    time = "2022-01-01/48"
    
%groundwater
    id = "0"
    
%data
* *	*	watertable
2022	92	39	1.81
2022	92	40	1.81
2022	92	41	1.81
2022	92	42	1.81
2022	92	43	1.81
2022	92	44	1.81
2022	92	45	1.809
2022	92	46	1.808
2022	92	47	1.809
2022	92	48	1.809
2022	93	1	1.809
2022	93	2	1.81
2022	93	3	1.81
2022	93	4	1.811
2022	93	5	1.812
2022	93	6	1.813
2022	93	7	1.813
2022	93	8	1.814
2022	93	9	1.815
2022	93	10	1.815
2022	93	11	1.815
2022	93	12	1.814
2022	93	13	1.813
2022	93	14	1.812
2022	93	15	1.811
2022	93	16	1.811
2022	93	17	1.809
2022	93	18	1.806
2022	93	19	1.804
2022	93	20	1.803
2022	93	21	1.801
2022	93	22	1.799
2022	93	23	1.799
2022	93	24	1.803
2022	93	25	1.807
2022	93	26	1.809
2022	93	27	1.81
2022	93	28	1.811
2022	93	29	1.812
2022	93	30	1.812
2022	93	31	1.813
2022	93	32	1.814
2022	93	33	1.815
2022	93	34	1.816
2022	93	35	1.817
2022	93	36	1.819
2022	93	37	1.819
2022	93	38	1.819
2022	93	39	1.819
2022	93	40	1.819
2022	93	41	1.819
2022	93	42	1.819
2022	93	43	1.819
2022	93	44	1.82
2022	93	45	1.821
2022	93	46	1.822
2022	93	47	1.824
2022	93	48	1.824
2022	94	1	1.824
2022	94	2	1.826
2022	94	3	1.828
2022	94	4	1.831
2022	94	5	1.833
2022	94	6	1.835
2022	94	7	1.838
2022	94	8	1.84
2022	94	9	1.844
2022	94	10	1.846
2022	94	11	1.847
2022	94	12	1.848
2022	94	13	1.849
2022	94	14	1.85
2022	94	15	1.85
2022	94	16	1.85
2022	94	17	1.851
2022	94	18	1.852
2022	94	19	1.853
2022	94	20	1.854
2022	94	21	1.856
2022	94	22	1.856
2022	94	23	1.858
2022	94	24	1.859
2022	94	25	1.861
2022	94	26	1.863
2022	94	27	1.863
2022	94	28	1.866
2022	94	29	1.867
2022	94	30	1.869
2022	94	31	1.871
2022	94	32	1.874
2022	94	33	1.876
2022	94	34	1.88
2022	94	35	1.882
2022	94	36	1.885
2022	94	37	1.887
2022	94	38	1.889
2022	94	39	1.892
2022	94	40	1.894
2022	94	41	1.895
2022	94	42	1.897
2022	94	43	1.899
2022	94	44	1.901
2022	94	45	1.902
2022	94	46	1.904
2022	94	47	1.906
2022	94	48	1.909
2022	95	1	1.912
2022	95	2	1.913
2022	95	3	1.918
2022	95	4	1.92
2022	95	5	1.922
2022	95	6	1.926
2022	95	7	1.931
2022	95	8	1.935
2022	95	9	1.938
2022	95	10	1.941
2022	95	11	1.946
2022	95	12	1.948
2022	95	13	1.953
2022	95	14	1.956
2022	95	15	1.959
2022	95	16	1.962
2022	95	17	1.966
2022	95	18	1.967
2022	95	19	1.968
2022	95	20	1.968
2022	95	21	1.968
2022	95	22	1.968
2022	95	23	1.968
2022	95	24	1.968
2022	95	25	1.968
2022	95	26	1.968
2022	95	27	1.966
2022	95	28	1.961
2022	95	29	1.955
2022	95	30	1.947
2022	95	31	1.941
2022	95	32	1.934
2022	95	33	1.928
2022	95	34	1.923
2022	95	35	1.917
2022	95	36	1.91
2022	95	37	1.906
2022	95	38	1.901
2022	95	39	1.897
2022	95	40	1.893
2022	95	41	1.89
2022	95	42	1.888
2022	95	43	1.885
2022	95	44	1.883
2022	95	45	1.882
2022	95	46	1.882
2022	95	47	1.882
2022	95	48	1.883
2022	96	1	1.883
2022	96	2	1.883
2022	96	3	1.884
2022	96	4	1.884
2022	96	5	1.886
2022	96	6	1.886
2022	96	7	1.887
2022	96	8	1.888
2022	96	9	1.889
2022	96	10	1.889
2022	96	11	1.89
2022	96	12	1.891
2022	96	13	1.891
2022	96	14	1.891
2022	96	15	1.891
2022	96	16	1.89
2022	96	17	1.889
2022	96	18	1.887
2022	96	19	1.886
2022	96	20	1.885
2022	96	21	1.883
2022	96	22	1.883
2022	96	23	1.882
2022	96	24	1.881
2022	96	25	1.881
2022	96	26	1.88
2022	96	27	1.88
2022	96	28	1.881
2022	96	29	1.88
2022	96	30	1.881
2022	96	31	1.881
2022	96	32	1.88
2022	96	33	1.879
2022	96	34	1.878
2022	96	35	1.879
2022	96	36	1.878
2022	96	37	1.879
2022	96	38	1.879
2022	96	39	1.88
2022	96	40	1.881
2022	96	41	1.882
2022	96	42	1.882
2022	96	43	1.882
2022	96	44	1.883
2022	96	45	1.883
2022	96	46	1.884
2022	96	47	1.885
2022	96	48	1.886
2022	97	1	1.887
2022	97	2	1.889
2022	97	3	1.889
2022	97	4	1.89
2022	97	5	1.891
2022	97	6	1.893
2022	97	7	1.894
2022	97	8	1.895
2022	97	9	1.895
2022	97	10	1.896
2022	97	11	1.897
2022	97	12	1.897
2022	97	13	1.898
2022	97	14	1.898
2022	97	15	1.897
2022	97	16	1.896
2022	97	17	1.895
2022	97	18	1.896
2022	97	19	1.898
2022	97	20	1.898
2022	97	21	1.899
2022	97	22	1.9
2022	97	23	1.9
2022	97	24	1.9
2022	97	25	1.901
2022	97	26	1.901
2022	97	27	1.9
2022	97	28	1.899
2022	97	29	1.899
2022	97	30	1.898
