 Wavelength Refl Tran
1072 0.4577 0.4946 
1073 0.4576 0.4949 
1074 0.4583 0.4940 
1075 0.4577 0.4941 
1076 0.4568 0.4945 
1077 0.4577 0.4949 
1078 0.4577 0.4951 
1079 0.4569 0.4950 
1080 0.4577 0.4946 
1081 0.4569 0.4943 
1082 0.4565 0.4936 
1083 0.4574 0.4951 
1084 0.4572 0.4947 
1085 0.4565 0.4952 
1086 0.4570 0.4954 
1087 0.4564 0.4952 
1088 0.4568 0.4947 
1089 0.4569 0.4952 
1090 0.4567 0.4944 
1091 0.4567 0.4950 
1092 0.4565 0.4954 
1093 0.4566 0.4953 
1094 0.4566 0.4942 
1095 0.4555 0.4942 
1096 0.4558 0.4942 
1097 0.4558 0.4948 
1098 0.4548 0.4939 
1099 0.4561 0.4955 
1100 0.4559 0.4947 
1101 0.4556 0.4948 
1102 0.4552 0.4948 
1103 0.4554 0.4941 
1104 0.4547 0.4936 
1105 0.4548 0.4937 
1106 0.4547 0.4934 
1107 0.4552 0.4930 
1108 0.4540 0.4930 
1109 0.4539 0.4930 
1110 0.4541 0.4930 
1111 0.4541 0.4928 
1112 0.4539 0.4924 
1113 0.4536 0.4933 
1114 0.4536 0.4923 
1115 0.4533 0.4931 
1116 0.4535 0.4930 
1117 0.4537 0.4924 
1118 0.4540 0.4939 
1119 0.4540 0.4944 
1120 0.4542 0.4941 
1121 0.4539 0.4940 
1122 0.4529 0.4935 
1123 0.4529 0.4932 
1124 0.4528 0.4924 
1125 0.4520 0.4917 
1126 0.4517 0.4928 
1127 0.4517 0.4916 
1128 0.4506 0.4910 
1129 0.4500 0.4902 
1130 0.4493 0.4901 
1131 0.4488 0.4893 
1132 0.4493 0.4899 
1133 0.4488 0.4891 
1134 0.4486 0.4899 
1135 0.4471 0.4882 
1136 0.4457 0.4861 
1137 0.4447 0.4843 
1138 0.4431 0.4839 
1139 0.4430 0.4837 
1140 0.4418 0.4822 
1141 0.4417 0.4815 
1142 0.4411 0.4804 
1143 0.4404 0.4800 
1144 0.4384 0.4791 
1145 0.4384 0.4788 
1146 0.4370 0.4767 
1147 0.4356 0.4752 
1148 0.4343 0.4753 
1149 0.4343 0.4739 
1150 0.4332 0.4728 
1151 0.4329 0.4725 
1152 0.4315 0.4714 
1153 0.4317 0.4712 
1154 0.4318 0.4706 
1155 0.4308 0.4703 
1156 0.4303 0.4700 
1157 0.4291 0.4692 
1158 0.4288 0.4690 
1159 0.4290 0.4680 
1160 0.4285 0.4686 
1161 0.4284 0.4685 
1162 0.4275 0.4691 
1163 0.4279 0.4679 
1164 0.4275 0.4674 
1165 0.4267 0.4672 
1166 0.4265 0.4666 
1167 0.4273 0.4673 
1168 0.4263 0.4665 
1169 0.4266 0.4667 
1170 0.4261 0.4669 
1171 0.4260 0.4660 
1172 0.4260 0.4658 
1173 0.4259 0.4652 
1174 0.4253 0.4659 
1175 0.4257 0.4662 
1176 0.4258 0.4655 
1177 0.4249 0.4650 
1178 0.4258 0.4654 
1179 0.4258 0.4649 
1180 0.4251 0.4642 
1181 0.4241 0.4639 
1182 0.4244 0.4643 
1183 0.4241 0.4637 
1184 0.4230 0.4636 
1185 0.4229 0.4627 
1186 0.4231 0.4630 
1187 0.4225 0.4627 
1188 0.4212 0.4628 
1189 0.4225 0.4621 
1190 0.4219 0.4627 
1191 0.4236 0.4649 
1192 0.4233 0.4645 
1193 0.4234 0.4641 
1194 0.4241 0.4654 
1195 0.4239 0.4647 
1196 0.4233 0.4647 
1197 0.4236 0.4646 
1198 0.4234 0.4647 
1199 0.4240 0.4644 
1200 0.4229 0.4641 
1201 0.4228 0.4646 
1202 0.4228 0.4645 
1203 0.4230 0.4649 
1204 0.4240 0.4654 
1205 0.4237 0.4651 
