Species,Family,Authority,Growth Form,Exotic,
Adelia bernardia,Euphorbiaceae,L.,,,
Adelia ricinella,Euphorbiaceae,L.,,,
Adelia triloba,Euphorbiaceae,(M?ll. Arg.) Hemsl.,U,,
Adelobotrys acreana,Melastomataceae,Wurdack,V,,
Adelobotrys adscendens,Melastomataceae,(Sw.) Triana,V,,
Adelobotrys intonsa,Melastomataceae,(Gleason) Wurdack,V,,
Adelobotrys klugii,Melastomataceae,Wurd.,U,,
Adelobotrys macrantha,Melastomataceae,Gleason,"V,T",,
Adelobotrys marginata,Melastomataceae,Brade,V,,
Adelobotrys panamensis,Melastomataceae,Almeda,T,,
Adelobotrys praetexta,Melastomataceae,Pilg.,"S,V",,
Adelobotrys rotundifolia,Melastomataceae,Triana,V,,
Adelobotrys scandens,Melastomataceae,(Aubl.) DC.,V,,
Adelobotrys subsessilis,Melastomataceae,Gleason,V,,
Adelobotrys tessmannii,Melastomataceae,Markgr.,"S,V",,
Adenanthe bicarpellata,Ochnaceae,"Maguire, Steyerm. & Wurdack",T,,
Adenanthe ciliata,Ochnaceae,Sastre,S,,
Adenanthera pavonina,Fabaceae-mimosoideae,L.,M,,
Adenaria floribunda,Lythraceae,Kunth,"S,T",,
Adenocalymma arthropetiolatum,Bignoniaceae,A. Gentry,V,,
Adenocalymma impressum,Bignoniaceae,(Rusby) Sandwith,V,,
Adenocalymma inundatum,Bignoniaceae,Mart. ex DC.,U,,
Adenocalymma purpurascens,Bignoniaceae,Rusby,V,,
Adenocalymma uleanum,Bignoniaceae,Kraenzl.,V,,
Adenophaedra grandifolia,Euphorbiaceae,(Klotzsch) M?ll. Arg.,"S,T",,
Adenophaedra megalophylla,Euphorbiaceae,Mu|2ll. Arg. in Mart.,T,,
Adesmia augusti,Fabaceae,J.F. Macbr.,S,,
Adesmia hispidula,Fabaceae,(Lag.) DC.,S,,
Adesmia melanthes,Fabaceae,Phil.,S,,
Adesmia miraflorensis,Fabaceae,Remy,S,,
Adesmia muricata,Fabaceae,Gillies ex Hook. & Arn.,S,,
Adesmia spinosissima,Fabaceae,Meyen ex Vogel,S,,
Adesmia verrucosa,Fabaceae,Meyen,S,,
Adiscanthus fusciflorus,Rutaceae,Ducke,,,
Aegiphila alba,Lamiaceae,Moldenke,T,,
Aegiphila anomala,Lamiaceae,Pittier,M,,
Aegiphila bogotensis,Lamiaceae,(Spreng.) Mold.,S,,
Aegiphila boliviana,Lamiaceae,Moldenke,U,,
Aegiphila bracteolosa,Lamiaceae,Moldenke,,,
Aegiphila caucensis,Lamiaceae,Moldenke,S,,
Aegiphila cephalophora,Lamiaceae,Standl.,V,,
Aegiphila chrysantha,Lamiaceae,Hayek,U,,
Aegiphila cordata,Lamiaceae,Poepp. ex Schauer,T,,
Aegiphila cordifolia,Lamiaceae,(Ruiz & Pav.) Moldenke,U,,
Aegiphila costaricensis,Lamiaceae,Moldenke,"S,T",,
Aegiphila cuatrecasasii,Lamiaceae,Mold.,T,,
Aegiphila cuneata,Lamiaceae,Moldenke,"S,T",,
Aegiphila deppeana,Lamiaceae,Steud.,"S,T",,
Aegiphila elata,Lamiaceae,Sw.,V,,
Aegiphila elegans,Lamiaceae,Moldenke,U,,
Aegiphila falcata,Lamiaceae,Donn. Sm.,"S,T",,
Aegiphila ferruginea,Lamiaceae,Hayek & Spruce,"T,S",,
Aegiphila filipes,Lamiaceae,Mart. & Schauer,"S,T",,
Aegiphila glabrata,Lamiaceae,Moldenke,t,,
Aegiphila glomerata,Lamiaceae,Benth.,T,,
