Species,Family,Authority,Growth Form,Exotic,
Miconia crassifolia,Melastomataceae,Triana,S,,
Miconia crassinervia,Melastomataceae,Cogn.,,,
Miconia crassipes,Melastomataceae,Triana,S,,
Miconia crassistigma,Melastomataceae,Cogn.,S,,
Miconia crebribullata,Melastomataceae,Wurd.,T,,
Miconia cremophylla,Melastomataceae,Naudin,S,,
Miconia cretacea,Melastomataceae,Gleason,S,,
Miconia crinita,Melastomataceae,Naudin,S,,
Miconia crocata,Melastomataceae,Almeda,"S,T",,
Miconia crocea,Melastomataceae,(Desr.) Naudin,"T,S",,
Miconia cuneata,Melastomataceae,Triana ex Cogn.,S,,
Miconia cuprea,Melastomataceae,Wurd.,"T,U,S",,
Miconia cuspidata,Melastomataceae,Mart. ex Naudin,,,
Miconia cutucuensis,Melastomataceae,Wurd.,S,,
Miconia cyanocarpa,Melastomataceae,,S,,
Miconia dapsiliflora,Melastomataceae,Wurd.,S,,
Miconia dasyclada,Melastomataceae,Wurdack,"T,S",,
Miconia decurrens,Melastomataceae,Cogn.,M,,
Miconia demissifolia,Melastomataceae,Wurdack,"T,S",,
Miconia densifolia,Melastomataceae,Cogn.,S,,
Miconia denticulata,Melastomataceae,Naudin,S,,
Miconia desmantha,Melastomataceae,Benth.,T,,
Miconia diaphanea,Melastomataceae,Gleason,,,
Miconia dielsii,Melastomataceae,Markgraf,"T,S",,
Miconia difficilis,Melastomataceae,Triana,"T,S",,
Miconia dipsacea,Melastomataceae,Naudin,S,,
Miconia dispar,Melastomataceae,Benth.,>10 cm dbh,,
Miconia dissimulans,Melastomataceae,Wurd.,"T,S",,
Miconia divisoriana,Melastomataceae,Wurdack,S,,
Miconia dodecandra,Melastomataceae,Cogn. in Mart.,T,,
Miconia dodsonii,Melastomataceae,Wurd.,"T,U,S",,
Miconia dolichorrhyncha,Melastomataceae,Naudin,"S,T",,
Miconia donaeana,Melastomataceae,Naudin,"S,T",,
Miconia dorsiloba,Melastomataceae,Gleason,S,,
Miconia duckei,Melastomataceae,Cogn.,,,
Miconia dudleyi,Melastomataceae,Wurd.,T,,
Miconia dumetosa,Melastomataceae,Cogn.,S,,
Miconia egensis,Melastomataceae,Cogn. in Mart.,,,
Miconia egregia,Melastomataceae,Wurdack,S,,
Miconia elaeagnoides,Melastomataceae,Cogn.,>10 cm dbh,,
Miconia elata,Melastomataceae,(Sw.) DC.,U,,
Miconia elongata,Melastomataceae,Cogn.,S,,
Miconia emendata,Melastomataceae,Wurdack,T,,
Miconia eriocalyx,Melastomataceae,Cogn. in Mart.,"V,S,T",,
Miconia erioclada,Melastomataceae,Triana,"h,S,T",,
Miconia eriodonta,Melastomataceae,DC.,,,
Miconia espinosae,Melastomataceae,Markgraf,S,,
Miconia eugenioides,Melastomataceae,Triana,>10 cm dbh,,
Miconia expansa,Melastomataceae,Gleason,"T,V",,
Miconia explicita,Melastomataceae,Wurd.,S,,
Miconia fallax,Melastomataceae,DC.,S,,
Miconia fanshawei,Melastomataceae,Wurdack,S,,
Miconia ferreyrae,Melastomataceae,Wurdack,S,,
Miconia filamentosa,Melastomataceae,Gleason,"S,T",,
Miconia firma,Melastomataceae,J.F. Macbr.,T,,
Miconia flaccida,Melastomataceae,Gleason,S,,
Miconia floccosa,Melastomataceae,Cogn.,T,,
Miconia floribunda,Melastomataceae,(Bonpl.) DC.,"T,U",,
Miconia fosbergii,Melastomataceae,Wurd.,S,,
Miconia fosteri,Melastomataceae,Wurdack,S,,
Miconia foveolata,Melastomataceae,Cogn.,,,
Miconia fragilis,Melastomataceae,Naudin,,,
Miconia fragrans,Melastomataceae,Cogn. in Urb.,T,,
Miconia francavillana,Melastomataceae,Cogn. in Mart.,S?,,
Miconia fuliginosa,Melastomataceae,Wurd.,S,,
Miconia galactantha,Melastomataceae,Naudin,"T,S",,
Miconia gentryi,Melastomataceae,Wurdack,T,,
Miconia gibba,Melastomataceae,Markgraf,"T,S",,
Miconia glaberrima,Melastomataceae,,T,,
Miconia glandulistyla,Melastomataceae,Wurd.,"T,U,S",,
Miconia glauca,Melastomataceae,,T,,
Miconia glaucescens,Melastomataceae,Triana,T,,
Miconia glomerata,Melastomataceae,Triana,S,,
Miconia glutinosa,Melastomataceae,Cogn.,S,,
Miconia glyptophylla,Melastomataceae,Wurd.,"T,U,S",,
Miconia gonioclada,Melastomataceae,Triana,S,,
Miconia goniostigma,Melastomataceae,Triana,"U,V",,
Miconia gracilis,Melastomataceae,Triana,,,
Miconia grandiflora,Melastomataceae,Cogn.,T,,
Miconia grandifolia,Melastomataceae,Ule,U,,
Miconia gratissima,Melastomataceae,Benth. ex Triana,>10 cm dbh,,
Miconia grayana,Melastomataceae,Cogn. in A. DC. & C. DC.,S,,
Miconia griffisii,Melastomataceae,J.F. Macbr.,T,,
Miconia grisea,Melastomataceae,Cogn.,S,,
Miconia guayaquilensis,Melastomataceae,(Bonpl.) Bonpl.D. Don ex DC.,S,,
Miconia hadrophylla,Melastomataceae,Wurd.,S,,
Miconia hamata,Melastomataceae,Cogn.,S,,
Miconia harlingii,Melastomataceae,Wurd.,"T,S",,
Miconia herrerae,Melastomataceae,Gleason,S,,
Miconia heterochaeta,Melastomataceae,Wurdack,T,,
Miconia heteromera,Melastomataceae,Naudin,T,,
Miconia hexamera,Melastomataceae,Wurd.,"T,U,S",,
Miconia hexapetala,Melastomataceae,Wurdack,S,,
Miconia hirsutivena,Melastomataceae,H. A. Gleason,S,,
Miconia histothrix,Melastomataceae,Wurdack,S,,
Miconia holosericea,Melastomataceae,(L.) DC.,"T,S",,
Miconia hondurensis,Melastomataceae,Donn. Sm.,U,,
Miconia hookeriana,Melastomataceae,Triana,U,,
Miconia hospitalis,Melastomataceae,Wurdack,"T,S",,
Miconia huanucensis,Melastomataceae,Wurdack,S,,
Miconia huigrensis,Melastomataceae,Wurd.,"T,U,S",,
Miconia hutchisonii,Melastomataceae,Wurdack,S,,
Miconia hygrophila,Melastomataceae,Naudin,S,,
Miconia hylophila,Melastomataceae,Wurdack,"U,T",,
Miconia hymenanthera,Melastomataceae,Triana,S,,
Miconia hypoleuca,Melastomataceae,(Benth.) Triana,T,,
Miconia ibaguensis,Melastomataceae,(Bonpl.) Triana,"S,T",,
Miconia icosandra,Melastomataceae,Gleason,T,,
Miconia idiogena,Melastomataceae,Wurd.,S,,
Miconia idroboi,Melastomataceae,Wurdack,T,,
Miconia imitans,Melastomataceae,Wurd.,T,,
Miconia impetiolaris,Melastomataceae,(Sw.) D. Don ex DC.,"S,T",,
Miconia inanis,Melastomataceae,Cogn. & H. A. Gleason ex H. A. Gleason,S,,
Miconia innata,Melastomataceae,H. A. Gleason,S,,
Miconia insularis,Melastomataceae,Gleason,"S,T",,
Miconia integrifolia,Melastomataceae,Cogn. in A. DC. & C. DC.,T,,
Miconia jahnii,Melastomataceae,Pittier,"T,S",,
Miconia jorgensenii,Melastomataceae,Wurd.,"S,V",,
Miconia juruensis,Melastomataceae,Pilg.,T,,
Miconia kapplerii,Melastomataceae,Naudin,S?,,
Miconia klugii,Melastomataceae,H. A. Gleason,M,,
Miconia koepckeana,Melastomataceae,Wurdack,S,,
Miconia kraenzlinii,Melastomataceae,Cogn.,U,,
Miconia lacera,Melastomataceae,(Bonpl.) Naudin,S,,
Miconia lachnoclada,Melastomataceae,Wurdack,T,,
Miconia laciniata,Melastomataceae,Wurdack,S,,
Miconia laetivirens,Melastomataceae,Uribe,U,,
Miconia laevigata,Melastomataceae,(L.) L.D. Don in Sweet,,,
Miconia lambayequensis,Melastomataceae,Wurdack,S,,
Miconia lamprophylla,Melastomataceae,Triana,S,,
Miconia lanata,Melastomataceae,(DC.) Triana,S,,
Miconia lasiocalyx,Melastomataceae,Cogn.,"T,U,S",,
Miconia lasiostyla,Melastomataceae,Gleason,T,,
Miconia lasseri,Melastomataceae,Gleason,S,,
Miconia lateriflora,Melastomataceae,Cogn.,S,,
Miconia latifolia,Melastomataceae,(D. Don) Naudin,"S,T",,
Miconia laurina,Melastomataceae,(D. Don) Naudin,S,,
Miconia laxa,Melastomataceae,Wurd.,S,,
Miconia leandroides,Melastomataceae,Cogn. & H. A. Gleason ex H. A. Gleason,S,,
Miconia lechleri,Melastomataceae,Triana,S,,
Miconia ledifolia,Melastomataceae,(DC.) Naudin,S,,
Miconia lepidota,Melastomataceae,Schrank & Mart. ex DC.,>10 cm dbh,,
Miconia ligulata,Melastomataceae,Almeda,S,,
Miconia ligustrina,Melastomataceae,(Smith) Triana,"T,U,S",,
Miconia lilacina,Melastomataceae,Triana,S,,
Miconia littlei,Melastomataceae,Wurd.,T,,
Miconia livida,Melastomataceae,Triana,"T,S",,
Miconia lonchophylla,Melastomataceae,Naudin,M,,
Miconia longifolia,Melastomataceae,(Aubl.) DC.,T,,
Miconia longiracemosa,Melastomataceae,Gleason,S,,
Miconia longisepala,Melastomataceae,Gleason,T,,
Miconia longisetosa,Melastomataceae,Wurd.,S,,
Miconia longispicata,Melastomataceae,Triana,>10 cm dbh,,
Miconia loretensis,Melastomataceae,Pilg.,S,,
Miconia loreyoides,Melastomataceae,Triana,S,,
Miconia lourteigiana,Melastomataceae,Wurdack,,,
Miconia loxensis,Melastomataceae,(Bonpl.) DC.,S,,
Miconia lugonis,Melastomataceae,Wurdack,U,,
Miconia lugubris,Melastomataceae,Cogn.,S,,
Miconia lutescens,Melastomataceae,(Bonpl.) DC.,S,,
Miconia macbrydeana,Melastomataceae,Wurd.,S,,
Miconia macrothyrsa,Melastomataceae,Benth.,S,,
Miconia macrotis,Melastomataceae,Cogn. in A. DC. & C. DC.,T,,
Miconia madisonii,Melastomataceae,Wurdack,S,,
Miconia maguirei,Melastomataceae,Gleason,S,,
Miconia malatestae,Melastomataceae,J.F. Macbr.,S,,
Miconia manicata,Melastomataceae,Cogn. & H. A. Gleason,S,,
Miconia marginata,Melastomataceae,Triana,T,,
Miconia mariae,Melastomataceae,Wurdack,S,,
Miconia martiniana,Melastomataceae,Gleason,"S,T",,
Miconia matthaei,Melastomataceae,Naudin,T,,
Miconia mazanana,Melastomataceae,J.F. Macbr.,>10 cm dbh,,
Miconia media,Melastomataceae,(D. Don) Naudin,"T,S",,
Miconia mediocris,Melastomataceae,Wurd.,"T,U,S",,
Miconia medusa,Melastomataceae,H. A. Gleason,S,,
Miconia melinonis,Melastomataceae,Naudin,S?,,
Miconia membranacea,Melastomataceae,Triana,S,,
Miconia micropetala,Melastomataceae,Cogn. in A. DC. & C. DC.,S,,
Miconia miles-morganii,Melastomataceae,J.F. Macbr.,S,,
Miconia minuta,Melastomataceae,H. A. Gleason,S,,
Miconia minutiflora,Melastomataceae,(Bonpl.) DC.,"S,T",,
Miconia mirabilis,Melastomataceae,(Aubl.) L.O. Williams,>10 cm dbh,,
Miconia molinopampa,Melastomataceae,Wurdack,S,,
Miconia mollis,Melastomataceae,Triana,S,,
Miconia monzoniensis,Melastomataceae,Cogn.,S,,
Miconia multiflora,Melastomataceae,Cogn.,,,
Miconia multiplinervia,Melastomataceae,Cogn.,"S,T",,
Miconia multispicata,Melastomataceae,Naudin,"S,T",,
Miconia muricata,Melastomataceae,(D. Don) Triana,S,,
Miconia mutabilis,Melastomataceae,(DC.) Triana,S?,,
Miconia myriantha,Melastomataceae,Benth.,,,
Miconia namandensis,Melastomataceae,Wurd.,"T,S",,
Miconia napoana,Melastomataceae,Wurdack,T,,
Miconia nasella,Melastomataceae,Wurd.,T,,
Miconia neriifolia,Melastomataceae,,"T,S",,
Miconia nervosa,Melastomataceae,(Sm.) Triana,S,,
Miconia nigricans,Melastomataceae,Cogn.,"T,S",,
Miconia nobilis,Melastomataceae,Gleason,T,,
Miconia nodosa,Melastomataceae,Cogn.,S,,
Miconia notabilis,Melastomataceae,Triana,"U,S",,
Miconia nutans,Melastomataceae,Donn. Sm.,"U,T",,
Miconia nystroemii,Melastomataceae,Ekman ex Urb.,,,
Miconia obscura,Melastomataceae,(Bonpl.) Naudin,"T,U,S",,
Miconia ochracea,Melastomataceae,Triana,"T,U,S",,
Miconia oinochrophylla,Melastomataceae,Donn. Sm.,,,
Miconia oldemanii,Melastomataceae,Wurdack,S,,
Miconia oligantha,Melastomataceae,Wurdack,T,,
Miconia ombrophila,Melastomataceae,Wurd.,T,,
Miconia onaensis,Melastomataceae,Wurd.,S,,
Miconia opacifolia,Melastomataceae,J.F. Macbr.,S,,
Miconia oraria,Melastomataceae,Wurdack,T,,
Miconia ottikeri,Melastomataceae,J.F. Macbr.,S,,
Miconia ottoschulzii,Melastomataceae,Urban & E. Ekman,,,
Miconia pachydonta,Melastomataceae,Gleason,T,,
Miconia pachyphylla,Melastomataceae,Cogn.,,,
Miconia paeminosa,Melastomataceae,Wurdack,S,,
Miconia pailasana,Melastomataceae,Wurd.,S,,
Miconia paleacea,Melastomataceae,Cogn. in A. DC. & C. DC.,U,,
Miconia paludigena,Melastomataceae,Wurd.,S,,
Miconia papillosa,Melastomataceae,(Desr.) Naudin,S,,
Miconia paradisica,Melastomataceae,Wurdack,S,,
Miconia pastazana,Melastomataceae,Wurdack,T,,
Miconia pauciglandulosa,Melastomataceae,Naudin,S,,
Miconia pausana,Melastomataceae,Wurd.,T,,
Miconia pavoniana,Melastomataceae,Naudin,"T,S",,
Miconia pedicellata,Melastomataceae,Cogn. in A. DC. & C. DC.,S,,
Miconia peltata,Melastomataceae,Almeda,"S,T",,
Miconia penningtonii,Melastomataceae,Wurd.,T,,
Miconia pernettifolia,Melastomataceae,Triana,S,,
Miconia persicariaefolia,Melastomataceae,Cogn.,,,
Miconia peruviana,Melastomataceae,Cogn. in A. DC. & C. DC.,S,,
Miconia phaeochaeta,Melastomataceae,Wurdack,T,,
Miconia phaeophylla,Melastomataceae,Triana,"S,T",,
Miconia phanerostila,Melastomataceae,Pilg.,>10 cm dbh,,
Miconia phlebodes,Melastomataceae,Wurdack,S,,
Miconia pichinchensis,Melastomataceae,Benth.,"S,V",,
Miconia pilaloensis,Melastomataceae,Wurd.,S,,
Miconia pileata,Melastomataceae,DC.,S,,
Miconia pilgeriana,Melastomataceae,Ule,M,,
Miconia pisinniflora,Melastomataceae,Wurd.,T,,
Miconia pittieri,Melastomataceae,Cogn.,"S,T",,
Miconia platypoda,Melastomataceae,Gleason,S?,,
Miconia plukenetii,Melastomataceae,Naudin,>10 cm dbh,,
Miconia plumifera,Melastomataceae,Triana,S,,
Miconia poeppigii,Melastomataceae,Triana,T,,
Miconia polita,Melastomataceae,Gleason,S,,
Miconia polychaeta,Melastomataceae,Wurdack,"T,S",,
Miconia polytopica,Melastomataceae,,S,,
Miconia poortmannii,Melastomataceae,(Cogn. in A. DC. & C. DC.) Wurd.,"T,U,S",,
Miconia porphyrotricha,Melastomataceae,(Markgr.) Wurdack,U,,
Miconia prancei,Melastomataceae,Wurdack,T,,
Miconia prasina,Melastomataceae,(Sw.) DC.,U,,
Miconia prietoi,Melastomataceae,Wurd.,S,,
Miconia procumbens,Melastomataceae,(Gleason) Wurdack,U,,
Miconia prominens,Melastomataceae,Wurd.,T,,
Miconia protuberans,Melastomataceae,Wurd.,T,,
Miconia pseudoaplostachya,Melastomataceae,Cogn. in Mart.,S?,,
Miconia pseudocapsularis,Melastomataceae,Wurdack,S,,
Miconia pseudocentrophora,Melastomataceae,Cogn. in A. DC. & C. DC.,"T,S",,
Miconia pterocaulon,Melastomataceae,Triana,S,,
Miconia puberula,Melastomataceae,Cogn.,S,,
Miconia pubipetala,Melastomataceae,Miq.,>10 cm dbh,,
Miconia pujana,Melastomataceae,Markgraf,S,,
Miconia pulgari,Melastomataceae,J.F. Macbr.,S,,
Miconia pulverulenta,Melastomataceae,Ruiz & Pav.,T,,
Miconia punctata,Melastomataceae,(Desr.) D. Don,T,,
Miconia punicea,Melastomataceae,Wurdack,S,,
Miconia pustulata,Melastomataceae,Naudin,"T,S",,
Miconia pycnoneura,Melastomataceae,Urban,,,
Miconia pyrifolia,Melastomataceae,Naudin,>10 cm dbh,,
Miconia quadrifolia,Melastomataceae,Naudin,T,,
Miconia quadripora,Melastomataceae,Wurdack,U,,
Miconia racemosa,Melastomataceae,(Aubl.) DC.,,,
Miconia radula,Melastomataceae,Cogn.,S,,
Miconia radulaefolia,Melastomataceae,(Benth.) Naudin,S,,
Miconia reburrosa,Melastomataceae,Wurd.,S,,
Miconia reducens,Melastomataceae,Triana,S,,
Miconia reflexipila,Melastomataceae,Wurdack,S,,
Miconia regelii,Melastomataceae,Cogn. in Mart.,>10 cm dbh,,
Miconia retusa,Melastomataceae,Pilg.,S,,
Miconia rimachii,Melastomataceae,Wurdack,>10 cm dbh,,
Miconia rimbachii,Melastomataceae,Wurd.,"T,S",,
Miconia riparia,Melastomataceae,Triana,S,,
Miconia rivalis,Melastomataceae,Wurdack,U,,
Miconia rivetii,Melastomataceae,Danguy & Chermezon,S,,
Miconia robinsoniana,Melastomataceae,Cogn.,S,,
Miconia rotundifolia,Melastomataceae,(D. Don) Naudin,S,,
Miconia rubiginosa,Melastomataceae,(Bonpl.) DC.,"S,T",,
Miconia rufescens,Melastomataceae,(Aubl.) DC.,S,,
Miconia ruficalyx,Melastomataceae,Gleason,S?,,
Miconia rufiramea,Melastomataceae,Wurdack,S,,
Miconia rugifolia,Melastomataceae,Triana,S,,
Miconia rugosa,Melastomataceae,Triana,T,,
Miconia ruizii,Melastomataceae,Naudin,"T,S",,
Miconia rupestris,Melastomataceae,Ule,S,,
Miconia rupticalyx,Melastomataceae,Wurdack,S?,,
Miconia russea,Melastomataceae,Wurd.,S,,
Miconia sagotiana,Melastomataceae,Cogn. in Mart.,S?,,
Miconia salicifolia,Melastomataceae,(HBK) Naudin,S,,
Miconia saltuensis,Melastomataceae,Wurdack,S,,
Miconia sanguinea,Melastomataceae,Triana,"S,T",,
Miconia santaritensis,Melastomataceae,Almeda,T,,
Miconia sarmentosa,Melastomataceae,Cogn. in Mart.,S?,,
Miconia sastrei,Melastomataceae,Wurdack,,,
Miconia saxatilis,Melastomataceae,J.F. Macbr.,S,,
Miconia scabra,Melastomataceae,Cogn.,S,,
Miconia schlimii,Melastomataceae,Triana,T,,
Miconia schunkei,Melastomataceae,Wurdack,U,,
Miconia sciurea,Melastomataceae,L. Uribe,T,,
Miconia scutata,Melastomataceae,H. A. Gleason,"T,S",,
Miconia secundifolia,Melastomataceae,,S,,
Miconia semisterilis,Melastomataceae,Gleason,T,,
Miconia seposita,Melastomataceae,Wurd.,S,,
Miconia serialis,Melastomataceae,DC.,S,,
Miconia serrulata,Melastomataceae,(DC.) Naudin,U,,
Miconia seticaulis,Melastomataceae,Wurdack,U,,
Miconia setulosa,Melastomataceae,Cogn. in A. DC. & C. DC.,T,,
Miconia shattuckii,Melastomataceae,Standl.,"S,T",,
Miconia silicicola,Melastomataceae,Gleason,S,,
Miconia simplex,Melastomataceae,Triana,S,,
Miconia sintenisii,Melastomataceae,,,,
Miconia smaragdina,Melastomataceae,Naudin,"T,S",,
Miconia sodiroi,Melastomataceae,Wurd.,T,,
Miconia sparrei,Melastomataceae,Wurdack,U,,
Miconia spennerostachya,Melastomataceae,Naudin,"T,V",,
Miconia spichigeri,Melastomataceae,Wurdack,>10 cm dbh,,
Miconia spinulidentata,Melastomataceae,Cogn. & H. A. Gleason,S,,
Miconia splendens,Melastomataceae,(Sw.) Griseb.,"S,T",,
Miconia stelligera,Melastomataceae,Cogn. in Mart.,"V,S,T",,
Miconia stenophylla,Melastomataceae,Wurd.,S,,
Miconia stenostachya,Melastomataceae,DC.,"S,T",,
Miconia stephananthera,Melastomataceae,Ule,S,,
Miconia stevensiana,Melastomataceae,Almeda,,,
Miconia stipitata,Melastomataceae,H. A. Gleason,S,,
Miconia subandicola,Melastomataceae,Wurdack,"S,T",,
Miconia subcalyx,Melastomataceae,,,,
Miconia subcorymbosa,Melastomataceae,,,,
Miconia subglabra,Melastomataceae,Cogn. in Mart.,S,,
Miconia subnodosa,Melastomataceae,Triana,S,,
Miconia suborbicularis,Melastomataceae,Cogn.,S,,
Miconia subspicata,Melastomataceae,Wurdack,>10 cm dbh,,
Miconia subulipetala,Melastomataceae,Wurdack,S,,
Miconia sulcata,Melastomataceae,J.F. Macbr.,T,,
Miconia superba,Melastomataceae,Ule,T,,
Miconia symplectocaulos,Melastomataceae,Pilg.,"S,T",,
Miconia talamancensis,Melastomataceae,Almeda,T,,
Miconia tenensis,Melastomataceae,Markgr.,U,,
Miconia tephrodes,Melastomataceae,Wurd.,S,,
Miconia terborghii,Melastomataceae,Wurdack,S,,
Miconia terera,Melastomataceae,Naudin,T,,
Miconia ternatifolia,Melastomataceae,Triana,"S,T",,
Miconia tetragona,Melastomataceae,Cogn. in Mart.,,,
Miconia tetrandra,Melastomataceae,(Sw.) D. Don,,,
Miconia tetrasperma,Melastomataceae,Gleason,,,
Miconia tetraspermoides,Melastomataceae,Wurdack,>10 cm dbh,,
Miconia thaminantha,Melastomataceae,,S,,
Miconia theaezans,Melastomataceae,(Bonpl.) Cogn.,"S,T",,
Miconia thomasiana,Melastomataceae,,,,
Miconia thysanophylla,Melastomataceae,Wurdack,"T,S",,
Miconia tiliifolia,Melastomataceae,Naudin,S,,
Miconia tillettii,Melastomataceae,Wurdack,,,
Miconia tinifolia,Melastomataceae,Naudin,T,,
Miconia tiri,Melastomataceae,Triana,S,,
Miconia tomentosa,Melastomataceae,(Rich.) D. Don ex DC.,"T,S",,
Miconia traillii,Melastomataceae,Cogn. in Mart.,>10 cm dbh,,
Miconia triangularis,Melastomataceae,Gleason,U,,
Miconia trichogona,Melastomataceae,J.F. Macbr.,S,,
Miconia trimera,Melastomataceae,Wurdack,,,
Miconia trinervia,Melastomataceae,(Sw.) D. Don ex Loudon,M,,
Miconia triplinervis,Melastomataceae,Ruiz & Pav.,"S,T",,
Miconia tschudyoides,Melastomataceae,Cogn. in Mart.,,,
Miconia umbriensis,Melastomataceae,Wurdack,"S,T",,
Miconia undata,Melastomataceae,Triana,>10 cm dbh,,
Miconia urbaniana,Melastomataceae,Cogn.,S,,
Miconia uvida,Melastomataceae,Wurdack,S,,
Miconia vaccinioides,Melastomataceae,(Bonpl.) Naudin,"S,V",,
Miconia vargasii,Melastomataceae,Wurdack,S,,
Miconia venulosa,Melastomataceae,Wurdack,T,,
Miconia versicolor,Melastomataceae,Naudin,"U,S",,
Miconia vesca,Melastomataceae,Wurd.,S,,
Miconia villonacensis,Melastomataceae,Wurd.,"T,U,S",,
Miconia vitiflora,Melastomataceae,J.F. Macbr.,S,,
Miconia vittata,Melastomataceae,(Linden & Andre) Cogn. in A. DC. & C. DC.,S,,
Miconia wagneri,Melastomataceae,J.F. Macbr.,S,,
Miconia wolfei,Melastomataceae,Wurdack,S,,
Miconia woytkowskii,Melastomataceae,Wurdack,"T,S,V",,
Miconia zamorensis,Melastomataceae,H. A. Gleason,S,,
Miconia zubenetana,Melastomataceae,J.F. Macbr.,T,,
Micrandra brownsbergensis,Euphorbiaceae,Lanj.,,,
Micrandra elata,Euphorbiaceae,(Didr.) M?ll. Arg.,>10 cm dbh,,
Micrandra glabra,Euphorbiaceae,(R.E. Schult.) R.E. Schult.,T,,
Micrandra gleasoniana,Euphorbiaceae,(Croizat) R.E. Schult.,T,,
Micrandra guyanensis,Euphorbiaceae,,>10 cm dbh,,
Micrandra rossiana,Euphorbiaceae,R.E. Schult.,S?,,
Micrandra rostana,Euphorbiaceae,,>10 cm dbh,,
Micrandra siphonioides,Euphorbiaceae,Benth.,>10 cm dbh,,
Micrandra spruceana,Euphorbiaceae,(Baill.) R.E. Schult.,>10 cm dbh,,
Micrandra sprucei,Euphorbiaceae,(M?ll. Arg.) R.E. Schult.,T,,
Micrandra spuceana,Euphorbiaceae,(Baill.) Schultes,T,,
Micrandropsis scleroxylon,Euphorbiaceae,(Rodr.) Rodr.,>10 cm dbh,,
Microlicia sphagnicola,Melastomataceae,Gleason,S,,
Microlicia weddellii,Melastomataceae,Naudin,S,,
Micropholis acutangula,Sapotaceae,(Ducke) Eyma,>10 cm dbh,,
Micropholis brochidodroma,Sapotaceae,T.D. Penn.,T,,
Micropholis casiquiarensis,Sapotaceae,Aubr?v.,>10 cm dbh,,
Micropholis caudata,Sapotaceae,T.D. Penn.,T,,
Micropholis cayennensis,Sapotaceae,T.D. Penn.,,,
Micropholis chrysophylloides,Sapotaceae,Pierre,,,
Micropholis crotonoides,Sapotaceae,(Pierre) Pierre,T,,
Micropholis cylindrocarpa,Sapotaceae,(Poepp.) Pierre,>10 cm dbh,,
Micropholis cyrtobotrya,Sapotaceae,(Mart. ex Miq.) Baill.,>10 cm dbh,,
Micropholis egensis,Sapotaceae,(A. DC.) Pierre,T,,
Micropholis garciniifolia,Sapotaceae,Pierre,,,
Micropholis gardneriana,Sapotaceae,(A. DC.) Pierre,T,,
Micropholis gnaphaloclados,Sapotaceae,(Mart.) Pierre,,,
Micropholis guyanensis,Sapotaceae,(A. DC.) Pierre,T,,
Micropholis humboldtiana,Sapotaceae,(Roem. & Schult.) T.D. Penn.,>10 cm dbh,,
Micropholis longipedicellata,Sapotaceae,Aubr?v.,,,
Micropholis macrophylla,Sapotaceae,(Krause) T.D. Penn.,T,,
Micropholis madeirensis,Sapotaceae,(Baehni) Aubr?v.,>10 cm dbh,,
Micropholis maguirei,Sapotaceae,Aubr?v.,>10 cm dbh,,
Micropholis melinoniana,Sapotaceae,Pierre,T,,
Micropholis mensalis,Sapotaceae,(Baehni) Aubr?v.,>10 cm dbh,,
Micropholis obscura,Sapotaceae,T.D. Penn.,>10 cm dbh,,
Micropholis porphyrocarpa,Sapotaceae,(Baehni) Monach.,>10 cm dbh,,
Micropholis sanctae-rosae,Sapotaceae,(Baehni) T.D. Penn.,T,,
Micropholis splendens,Sapotaceae,Gilly ex Aubr?v.,>10 cm dbh,,
Micropholis submarginalis,Sapotaceae,Pires & T.D. Penn.,>10 cm dbh,,
Micropholis trunciflora,Sapotaceae,Ducke,>10 cm dbh,,
Micropholis ulei,Sapotaceae,(Krause) Eyma,,,
Micropholis venulosa,Sapotaceae,(Mart. & Eichler) Pierre,T,,
Micropholis williamii,Sapotaceae,Aubr?v. & Pellegrin,>10 cm dbh,,
Microstachys corniculata,Euphorbiaceae,(Vahl) Griseb.,S,,
Mikania angularis,Asteraceae,Bonpl.,V,,
Mikania aquaria,Asteraceae,B.L. Rob.,V,,
Mikania areolata,Asteraceae,W.C. Holmes & McDaniel,V,,
Mikania arthroclada,Asteraceae,B.L. Rob.,"S,V",,
Mikania banisteriae,Asteraceae,DC.,V,,
Mikania brachyphylla,Asteraceae,Hieron.,S,,
Mikania brooksii,Asteraceae,W.C. Holmes & McDaniel,V,,
Mikania bullata,Asteraceae,B.L. Rob.,"S,V",,
Mikania carnosa,Asteraceae,Muschl.,"S,V",,
Mikania chimborazensis,Asteraceae,Hieron.,V,,
Mikania congesta,Asteraceae,DC.,V,,
Mikania conglomerata,Asteraceae,W.C. Holmes & McDaniel,V,,
Mikania cutervensis,Asteraceae,Hieron.,V,,
Mikania cuzcoensis,Asteraceae,W.C. Holmes & McDaniel,V,,
Mikania decora,Asteraceae,Poepp. in Poepp. & Endl.,"S,V",,
Mikania dioscoreoides,Asteraceae,(Rusby) B.L. Rob.,V,,
Mikania dudleyi,Asteraceae,W.C. Holmes & McDaniel,V,,
Mikania glandulifera,Asteraceae,W.C. Holmes & McDaniel,V,,
Mikania guaco,Asteraceae,Bonpl.,V,,
Mikania hexagonocaulis,Asteraceae,W.C. Holmes & McDaniel,V,,
Mikania hitchcockii,Asteraceae,B.L. Rob.,V,,
Mikania hookeriana,Asteraceae,DC.,V,,
Mikania huanucoensis,Asteraceae,W.C. Holmes & McDaniel,V,,
Mikania jelskii,Asteraceae,Hieron.,V,,
Mikania klugii,Asteraceae,B.L. Rob.,V,,
