".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"leaf_turnover_rate",26876,336,NA,0,NA,NA,"00:00:00",0,984,0.238,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.238,NA
"leaf_turnover_rate",26877,336,NA,0,NA,NA,"00:00:00",0,984,0.238,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.238,NA
"leaf_turnover_rate",26878,336,NA,0,NA,NA,"00:00:00",0,984,0.27,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.27,NA
"leaf_turnover_rate",26879,336,NA,0,NA,NA,"00:00:00",0,984,0.286,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.286,NA
"leaf_turnover_rate",26880,336,NA,0,NA,NA,"00:00:00",0,984,0.278,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.278,NA
"leaf_turnover_rate",26886,336,NA,0,NA,NA,"00:00:00",0,1000,0.385,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.385,NA
"leaf_turnover_rate",26887,336,NA,0,NA,NA,"00:00:00",0,1000,0.476,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.476,NA
"leaf_turnover_rate",26888,336,NA,0,NA,NA,"00:00:00",0,1000,0.333,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.333,NA
"leaf_turnover_rate",26889,336,NA,0,NA,NA,"00:00:00",0,1000,0.238,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.238,NA
"leaf_turnover_rate",26890,336,NA,0,NA,NA,"00:00:00",0,1000,0.385,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.385,NA
"leaf_turnover_rate",26891,336,NA,0,NA,NA,"00:00:00",0,1000,0.256,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.256,NA
"leaf_turnover_rate",26892,336,NA,0,NA,NA,"00:00:00",0,1000,0.256,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.256,NA
"leaf_turnover_rate",26893,336,NA,0,NA,NA,"00:00:00",0,1000,0.286,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.286,NA
"leaf_turnover_rate",26894,336,NA,0,NA,NA,"00:00:00",0,1000,0.256,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.256,NA
"leaf_turnover_rate",26895,336,NA,0,NA,NA,"00:00:00",0,1000,0.227,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.227,NA
"leaf_turnover_rate",26896,336,NA,0,NA,NA,"00:00:00",0,1000,0.244,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.244,NA
"leaf_turnover_rate",26897,336,NA,0,NA,NA,"00:00:00",0,1000,0.25,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.25,NA
"leaf_turnover_rate",26898,336,NA,0,NA,NA,"00:00:00",0,1000,0.278,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.278,NA
"leaf_turnover_rate",26899,336,NA,0,NA,NA,"00:00:00",0,1000,0.217,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.217,NA
"leaf_turnover_rate",26900,336,NA,0,NA,NA,"00:00:00",0,1002,0.417,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.417,NA
"leaf_turnover_rate",26901,336,NA,0,NA,NA,"00:00:00",0,1002,0.435,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.435,NA
"leaf_turnover_rate",26902,336,NA,0,NA,NA,"00:00:00",0,1002,0.417,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.417,NA
"leaf_turnover_rate",26903,336,NA,0,NA,NA,"00:00:00",0,1002,0.417,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.417,NA
"leaf_turnover_rate",26904,336,NA,0,NA,NA,"00:00:00",0,1002,0.4,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.4,NA
"leaf_turnover_rate",26905,336,NA,0,NA,NA,"00:00:00",0,1002,0.37,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.37,NA
"leaf_turnover_rate",26907,336,NA,0,NA,NA,"00:00:00",0,1008,0.417,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.417,NA
"leaf_turnover_rate",26908,336,NA,0,NA,NA,"00:00:00",0,1008,0.435,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.435,NA
"leaf_turnover_rate",26909,336,NA,0,NA,NA,"00:00:00",0,1008,0.476,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.476,NA
"leaf_turnover_rate",26910,336,NA,0,NA,NA,"00:00:00",0,1008,0.357,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.357,NA
"leaf_turnover_rate",26911,336,NA,0,NA,NA,"00:00:00",0,1012,0.333,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.333,NA
"leaf_turnover_rate",26912,336,NA,0,NA,NA,"00:00:00",0,1012,0.294,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.294,NA
"leaf_turnover_rate",26913,336,NA,0,NA,NA,"00:00:00",0,1012,0.588,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.588,NA
"leaf_turnover_rate",26914,336,NA,0,NA,NA,"00:00:00",0,1012,0.476,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.476,NA
"leaf_turnover_rate",26915,336,NA,0,NA,NA,"00:00:00",0,1012,0.5,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.5,NA
"leaf_turnover_rate",26916,336,NA,0,NA,NA,"00:00:00",0,1012,0.5,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.5,NA
"leaf_turnover_rate",26917,336,NA,0,NA,NA,"00:00:00",0,1013,0.455,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.455,NA
"leaf_turnover_rate",26918,336,NA,0,NA,NA,"00:00:00",0,1014,0.303,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.303,NA
"leaf_turnover_rate",26919,336,NA,0,NA,NA,"00:00:00",0,1014,0.286,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.286,NA
"leaf_turnover_rate",26920,336,NA,0,NA,NA,"00:00:00",0,1014,0.278,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.278,NA
"leaf_turnover_rate",26921,336,NA,0,NA,NA,"00:00:00",0,1014,0.417,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.417,NA
"leaf_turnover_rate",26922,336,NA,0,NA,NA,"00:00:00",0,1017,0.769,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.769,NA
"leaf_turnover_rate",26923,336,NA,0,NA,NA,"00:00:00",0,1018,0.385,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.385,NA
"leaf_turnover_rate",26924,336,NA,0,NA,NA,"00:00:00",0,1018,0.4,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.4,NA
"leaf_turnover_rate",26925,336,NA,0,NA,NA,"00:00:00",0,1018,0.4,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.4,NA
"leaf_turnover_rate",26926,336,NA,0,NA,NA,"00:00:00",0,1018,0.345,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.345,NA
"leaf_turnover_rate",26927,336,NA,0,NA,NA,"00:00:00",0,1019,1,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,1,NA
"leaf_turnover_rate",26928,336,NA,0,NA,NA,"00:00:00",0,1019,0.435,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.435,NA
"leaf_turnover_rate",26929,336,NA,0,NA,NA,"00:00:00",0,1019,0.556,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.556,NA
"leaf_turnover_rate",26930,336,NA,0,NA,NA,"00:00:00",0,1019,0.435,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.435,NA
"leaf_turnover_rate",26931,336,NA,0,NA,NA,"00:00:00",0,1019,0.909,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.909,NA
"leaf_turnover_rate",26932,336,NA,0,NA,NA,"00:00:00",0,1019,0.588,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.588,NA
"leaf_turnover_rate",26933,336,NA,0,NA,NA,"00:00:00",0,1019,0.476,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.476,NA
"leaf_turnover_rate",26935,336,NA,0,NA,NA,"00:00:00",0,1107,0.256,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.256,NA
"leaf_turnover_rate",26936,336,NA,0,NA,NA,"00:00:00",0,1107,0.233,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.233,NA
"leaf_turnover_rate",26937,336,NA,0,NA,NA,"00:00:00",0,1107,0.213,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.213,NA
"leaf_turnover_rate",26938,336,NA,0,NA,NA,"00:00:00",0,1107,0.286,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.286,NA
"leaf_turnover_rate",26939,336,NA,0,NA,NA,"00:00:00",0,1107,0.217,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.217,NA
"leaf_turnover_rate",26940,336,NA,0,NA,NA,"00:00:00",0,1107,0.2,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.2,NA
"leaf_turnover_rate",26941,336,NA,0,NA,NA,"00:00:00",0,1107,0.2,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.2,NA
"leaf_turnover_rate",26942,336,NA,0,NA,NA,"00:00:00",0,1107,0.25,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.25,NA
"leaf_turnover_rate",26943,336,NA,0,NA,NA,"00:00:00",0,1107,0.25,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.25,NA
"leaf_turnover_rate",26944,336,NA,0,NA,NA,"00:00:00",0,1107,0.222,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.222,NA
"leaf_turnover_rate",26945,336,NA,0,NA,NA,"00:00:00",0,1107,0.417,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.417,NA
"leaf_turnover_rate",26946,336,NA,0,NA,NA,"00:00:00",0,1107,0.5,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.5,NA
"leaf_turnover_rate",26947,336,NA,0,NA,NA,"00:00:00",0,1107,0.323,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.323,NA
"leaf_turnover_rate",26948,336,NA,0,NA,NA,"00:00:00",0,1107,0.27,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.27,NA
"leaf_turnover_rate",26949,336,NA,0,NA,NA,"00:00:00",0,1107,0.213,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.213,NA
"leaf_turnover_rate",26950,336,NA,0,NA,NA,"00:00:00",0,1107,0.196,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.196,NA
"leaf_turnover_rate",26951,336,NA,0,NA,NA,"00:00:00",0,1107,0.313,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.313,NA
"leaf_turnover_rate",26955,336,NA,0,NA,NA,"00:00:00",0,6,0.27,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.27,NA
"Amax",35190,344,560,1101,"Observational",1997-01-01 00:00:00,"00:00:00",NA,973,1.7845,"SE",0.2309,30,"Amax",1,-106.38,53.92,TRUE,FALSE,1.7845,0.2309
"Amax",35195,346,506,1104,"YJP",1994-05-26 00:00:00,"00:00:00",NA,984,25.69,"SE",4.01,88,"Amax",5,-98.4808,55.8796,TRUE,FALSE,25.69,4.01
"Amax",35198,346,506,1103,"OJP",1994-05-31 00:00:00,"00:00:00",NA,984,8.29,"SE",0.51,38,"Amax",5,-98.4808,55.8796,TRUE,FALSE,8.29,0.51
"Amax",35199,346,506,1105,"OBS",1994-06-01 00:00:00,"00:00:00",NA,973,12.54,"SE",3.09,16,"Amax",6,-98.4808,55.8796,TRUE,FALSE,12.54,3.09
"Amax",35200,346,506,1104,"YJP",1994-07-22 00:00:00,"00:00:00",NA,984,18.33,"SE",1.33,48,"Amax",7,-98.4808,55.8796,TRUE,FALSE,18.33,1.33
"Amax",35202,346,506,1105,"OBS",1994-07-28 00:00:00,"00:00:00",NA,973,18.93,"SE",0.74,48,"Amax",7,-98.4808,55.8796,TRUE,FALSE,18.93,0.74
"Amax",35203,346,506,1104,"YJP",1994-09-07 00:00:00,"00:00:00",NA,984,19.88,"SE",0.68,48,"Amax",9,-98.4808,55.8796,TRUE,FALSE,19.88,0.68
"Amax",35204,346,506,1103,"OJP",1994-09-06 00:00:00,"00:00:00",NA,984,19.27,"SE",1.04,48,"Amax",9,-98.4808,55.8796,TRUE,FALSE,19.27,1.04
"Amax",35205,346,506,1105,"OBS",1994-09-13 00:00:00,"00:00:00",NA,973,16.59,"SE",0.92,48,"Amax",9,-98.4808,55.8796,TRUE,FALSE,16.59,0.92
"Amax",35206,346,506,1103,"OJP",1994-07-25 00:00:00,"00:00:00",NA,984,13.95,"SE",1.28,47,"Amax",7,-98.4808,55.8796,TRUE,FALSE,13.95,1.28
"Amax",36338,357,576,1175,"North",1994-07-01 00:00:00,"00:00:00",NA,984,3.6563,"SE",0.135,NA,"Amax",7,-97.85,55.74,TRUE,FALSE,3.6563,0.135
"Amax",36339,357,506,1176,"South",1994-07-01 00:00:00,"00:00:00",NA,984,7.6212,"SE",0.4051,NA,"Amax",7,-98.4808,55.8796,TRUE,FALSE,7.6212,0.4051
"Amax",36341,357,576,1175,"North",1994-07-01 00:00:00,"00:00:00",NA,973,1.8106,"SE",0.2025,NA,"Amax",7,-97.85,55.74,TRUE,FALSE,1.8106,0.2025
"Amax",36342,357,506,1176,"South",1994-07-01 00:00:00,"00:00:00",NA,973,3.3142,"SE",0.3376,NA,"Amax",7,-98.4808,55.8796,TRUE,FALSE,3.3142,0.3376
"Amax",41297,482,795,1499,"observational",2002-08-24 05:00:00,"00:00:00",NA,978,7.4,NA,1.87,NA,"Amax",8,-68.1069,44.8708,TRUE,NA,7.4,1.87
"Amax",41298,482,795,1499,"observational",2003-08-24 05:00:00,"00:00:00",NA,978,9.57,NA,1.15,NA,"Amax",8,-68.1069,44.8708,TRUE,NA,9.57,1.15
"Amax",41299,482,794,1498,"Fertilizer",2002-08-24 05:00:00,"00:00:00",NA,978,8.19,NA,1.97,NA,"Amax",8,-68.1069,44.8708,FALSE,FALSE,8.19,1.97
"Amax",41300,482,794,1498,"Fertilizer",2003-08-24 05:00:00,"00:00:00",NA,978,9.48,NA,1.55,NA,"Amax",8,-68.1069,44.8708,FALSE,FALSE,9.48,1.55
"Amax",38692,415,630,1316,"Observational",NA,"00:00:00",NA,727,6.5,NA,NA,NA,"Amax",NA,-89.4293,43.0399,TRUE,FALSE,6.5,NA
"Amax",38695,415,630,1316,"Observational",NA,"00:00:00",NA,971,7.3,NA,NA,NA,"Amax",NA,-89.4293,43.0399,TRUE,FALSE,7.3,NA
"Amax",38699,415,630,1316,"Observational",NA,"00:00:00",NA,984,9.5,NA,NA,NA,"Amax",NA,-89.4293,43.0399,TRUE,FALSE,9.5,NA
"Amax",38702,415,630,1316,"Observational",NA,"00:00:00",NA,1017,8.1,NA,NA,NA,"Amax",NA,-89.4293,43.0399,TRUE,FALSE,8.1,NA
"Amax",38705,415,630,1316,"Observational",NA,"00:00:00",NA,1018,12.5,NA,NA,NA,"Amax",NA,-89.4293,43.0399,TRUE,FALSE,12.5,NA
"Amax",38709,415,630,1316,"Observational",NA,"00:00:00",NA,1386,7.2,NA,NA,NA,"Amax",NA,-89.4293,43.0399,TRUE,FALSE,7.2,NA
"Amax",38717,415,625,1316,"Observational",NA,"00:00:00",NA,967,10,NA,NA,NA,"Amax",NA,-91.03,43.85,TRUE,FALSE,10,NA
"Amax",38720,415,625,1316,"Observational",NA,"00:00:00",NA,1013,7.6,NA,NA,NA,"Amax",NA,-91.03,43.85,TRUE,FALSE,7.6,NA
