"","DayofYear","Hour","ThermalT","Stem","Leaf","Root"
"5230",307,20,2717.54510401772,-0.00102499041664424,0.00105935127113233,0.022756330819991
"5231",307,21,2717.88659166846,-0.0010255084663918,0.00105886240013081,0.0227499101029167
"5232",307,22,2718.22263333513,-0.00102602130711647,0.00105837684148182,0.0227435405429818
"5233",307,23,2718.55322901772,-0.00102652906504154,0.0010578945641559,0.0227372217036323
"5234",308,0,2718.55322901772,-0.00102676717339657,0.00105760481120761,0.0227338208568197
"5235",308,1,2718.55322901772,-0.00102700339410333,0.00105731665673326,0.0227304424458574
"5236",308,2,2718.55322901772,-0.00102723819612204,0.00105702973646357,0.0227270812571187
"5237",308,3,2718.55322901772,-0.00102747212979246,0.00105674361252712,0.0227237310239314
"5238",308,4,2718.55322901772,-0.00102770579245005,0.0010564578019256,0.0227203848310795
"5239",308,5,2718.55322901772,-0.00102793979208219,0.00105617180719736,0.0227170355478769
"5240",308,6,2718.55322901772,-0.00102817471038721,0.00105588514776943,0.0227136762702657
"5241",308,7,2718.55322901772,-0.00102841106711784,0.00105559739154055,0.0227103007530404
"5242",308,8,2718.55322901772,-0.00102864931304439,0.0010553082050857,0.0227069038074815
"5243",308,9,2718.55322901772,-0.00102888972939619,0.00105501734530653,0.0227034816677474
"5244",308,10,2718.55322901772,-0.00102913245687753,0.00105472470008238,0.0227000322582856
"5245",308,11,2718.55322901772,-0.00102937747699946,0.00105443027877406,0.0226965553739558
"5246",308,12,2718.55322901772,-0.00102962460520071,0.00105413421382369,0.0226930527392469
"5247",308,13,2718.55322901772,-0.0010298734988712,0.00105383675353934,0.0226895279302346
"5248",308,14,2718.55322901772,-0.0010301236786235,0.00105353824620162,0.0226859861540909
"5249",308,15,2718.55322901772,-0.0010303745610126,0.00105323911647267,0.022682433894622
"5250",308,16,2718.55322901772,-0.00103062549808719,0.00105293983653159,0.0226788784479826
"5251",308,17,2718.55322901772,-0.00103087582111109,0.00105264089982569,0.0226753273861655
"5252",308,18,2718.55322901772,-0.00103112494562677,0.00105234280230451,0.0226717879836086
"5253",308,19,2718.55322901772,-0.0010313723419258,0.00105204598681011,0.0226682666963914
"5254",308,20,2718.55322901772,-0.00103161760022538,0.00105175080791194,0.0226647686947702
"5255",308,21,2718.55322901772,-0.00103186045770824,0.00105145750789545,0.0226612975124604
"5256",308,22,2718.55322901772,-0.00103210081288548,0.00105116620175275,0.0226578548304819
"5257",308,23,2718.55322901772,-0.00103233872781399,0.00105087687173068,0.0226544404032478
"5258",309,0,2718.59395818439,-0.00103264245451203,0.00105053541662543,0.0226502650773463
"5259",309,1,2718.63300460846,-0.00103294531961801,0.00105019471401768,0.0226461004293733
"5260",309,2,2718.67075981872,-0.00103324758918385,0.00104985460791621,0.0226419441158382
"5261",309,3,2718.70770333805,-0.00103354954971538,0.00104951490468205,0.0226377932955353
"5262",309,4,2718.74437000472,-0.00103385149807858,0.00104917539132561,0.0226336448177638
"5263",309,5,2718.78131352404,-0.00103415372242608,0.00104883584962087,0.0226294954306239
"5264",309,6,2718.8190687343,-0.0010344564833175,0.00104849607056445,0.0226253419952717
"5265",309,7,2718.85811515837,-0.00103475999654413,0.00104815586884804,0.0226211816933901
"5266",309,8,2718.89884432504,-0.00103506444288958,0.00104781511483205,0.0226170122105777
"5267",309,9,2718.94153308697,-0.00103536989226266,0.00104747370858422,0.0226128319065318
"5268",309,10,2718.98632475363,-0.00103567634385123,0.00104713159452022,0.0226086399211419
"5269",309,11,2719.03321932504,-0.00103598372142958,0.0010467887713745,0.0226044362399982
"5270",309,12,2719.08207349171,-0.00103629187464169,0.00104644529361689,0.0226002217031043
"5271",309,13,2719.13261040097,-0.00103660058808035,0.00104610126829204,0.0225959979538936
"5272",309,14,2719.18443852404,-0.00103690959575627,0.00104575684801592,0.0225917673306878
"5273",309,15,2719.23707833805,-0.00103721859914261,0.0010454122207741,0.0225875327071647
"5274",309,16,2719.28999500472,-0.00103752728541027,0.00104506759784588,0.0225832972931311
"5275",309,17,2719.34263481872,-0.00103783534597204,0.00104472320499596,0.0225790644098917
"5276",309,18,2719.39446294179,-0.00103814254528597,0.00104437927441063,0.0225748372470042
"5277",309,19,2719.44499985106,-0.00103844867354473,0.00104403599302598,0.0225706186513401
"5278",309,20,2719.49385401772,-0.00103875358485812,0.00104369350956568,0.022566410924834
"5279",309,21,2719.54074858913,-0.00103905720691665,0.00104335192505212,0.0225622156679551
"5280",309,22,2719.5855402558,-0.00103935954475685,0.00104301128623275,0.0225580336748527
"5281",309,23,2719.62822901772,-0.00103966067930579,0.00104267158282515,0.0225538648860914
"5282",310,0,2719.62822901772,-0.00103991491167401,0.00104236783227204,0.0225502266212097
"5283",310,1,2719.62822901772,-0.00104016588424573,0.00104206681079589,0.0225466278004699
"5284",310,2,2719.62822901772,-0.0010404144314887,0.00104176787883481,0.0225430590711243
"5285",310,3,2719.62822901772,-0.00104066152149298,0.00104147027479107,0.0225395093187365
"5286",310,4,2719.62822901772,-0.00104090819915698,0.00104117316292205,0.0225359663571419
"5287",310,5,2719.62822901772,-0.00104115552758971,0.00104087568379965,0.0225324176468107
"5288",310,6,2719.62822901772,-0.00104140452861917,0.00104057700556518,0.0225288510212986
"5289",310,7,2719.62822901772,-0.00104165612342124,0.00104027637473734,0.0225252554045612
"5290",310,8,2719.62822901772,-0.00104191110796091,0.00103997319184847,0.0225216214920605
"5291",310,9,2719.62822901772,-0.00104217001317474,0.00103966703693893,0.0225179423971412
"5292",310,10,2719.62822901772,-0.00104243311952455,0.00103935768690271,0.0225142141690643
"5293",310,11,2719.62822901772,-0.00104270042067415,0.00103904513561854,0.0225104361742729
