plot	subplot	census_date	easting	northing	adult_density	sapling_density	ABG_biomass
P26	2	7/22/2004	712201	5090173	1075.1692644946	11605.0502968406	235.6340463763
P26	3	7/22/2004	712240	5090112	597.3162580526	4420.9715416536	205.4129479331
P26	4	7/22/2004	712166	5090123	537.5846322473	4420.9715416536	112.8140717004
P27	1	7/28/2004	711749.234	5089754.137	537.5846322473	3315.7286562402	133.4147716597
P27	2	7/28/2004	711754	5089786	298.6581290263	2763.1072135335	135.2254095755
P27	3	7/28/2004	711799	5089748	238.926503221	9394.5645260138	92.3042448594
P27	4	7/28/2004	711713	5089741	179.1948774158	9394.5645260138	79.0672545031
P28	1	7/23/2004	712097.031	5090467.096	298.6581290263	5526.214427067	48.4101470985
P28	2	7/23/2004	712095	5090510	179.1948774158	10499.8074114272	36.2506769822
P28	3	7/23/2004	712136	5090441	298.6581290263	8841.9430833071	63.1348067944
P28	4	7/23/2004	712144	5090443	179.1948774158	6631.4573124804	55.0401077111
P29	1	7/15/2004	712036.812	5090862.032	537.5846322473	9947.1859687205	125.2792198
P29	2	7/15/2004	712028	5090894	119.4632516105	0	17.8750757462
P29	3	7/15/2004	712075	5090846	716.7795096631	17683.8861666143	157.3817376175
P29	4	7/15/2004	712003	5090824	657.0478838578	4973.5929843603	91.7775474179
P30	1	7/14/2004	712121.754	5090879.836	418.1213806368	7184.0787551871	95.3357803657
P30	2	7/14/2004	712117	5090919	418.1213806368	9947.1859687205	90.8554216322
P30	3	7/14/2004	712155	5090864	836.2427612736	2763.1072135335	59.0972587821
P30	4	7/14/2004	712081	5090860	418.1213806368	4973.5929843603	110.9845374048
P31	1	7/19/2004	712279.863	5090493.841	418.1213806368	12710.293182254	107.0147613916
P31	2	7/19/2004	712284	5090509	657.0478838578	14920.7789530808	103.6049565398
P31	3	7/19/2004	712313	5090478	716.7795096631	0	84.8995066008
P31	4	7/19/2004	712240	5090476	895.9743870789	14920.7789530808	194.908418149
P32	1	7/22/2007	712313.389	5090345.102	597.3162580526	12710.293182254	98.8300626846
P32	2	7/22/2007	712313	5090377	1493.2906451314	552.6214427067	247.4853704848
P32	3	7/22/2007	712345	5090329	537.5846322473	5526.214427067	73.9219919637
P32	4	7/22/2007	712272	5090324	597.3162580526	3868.3500989469	112.9044591715
P33	1	7/22/2004	712411.868	5090236.054	955.7060128841	10499.8074114272	252.295996952
P33	2	7/22/2004	712403	5090292	238.926503221	4420.9715416536	129.6484659446
P33	3	7/22/2004	712449	5090231	298.6581290263	12710.293182254	59.213509886
P33	4	7/22/2004	712356	5090221	657.0478838578	11605.0502968406	172.2293480034
P34	1	7/19/2004	712475.425	5090536.795	716.7795096631	3315.7286562402	179.2154467309
P34	2	7/19/2004	712477	5090583	238.926503221	10499.8074114272	106.5593354223
P34	3	7/19/2004	712512	5090519	776.5111354683	5526.214427067	187.1184334474
P34	4	7/19/2004	712454	5090524	477.8530064421	12710.293182254	121.9066428729
P35	1	7/19/2004	712315.699	5090649.773	776.5111354683	1657.8643281201	62.3424668739
P35	2	7/19/2004	712276	5090699	238.926503221	11605.0502968406	33.86198394
P35	3	7/19/2004	712323	5090643	179.1948774158	15473.4003957875	59.6647851739
P35	4	7/19/2004	712258	5090639	358.3897548315	4973.5929843603	43.2504696405
P36	1	7/15/2004	712054.145	5091025.833	179.1948774158	0	48.8513396026
P36	2	7/15/2004	712044	5091054	238.926503221	3868.3500989469	64.7706165941
P36	4	7/15/2004	712018	5091024	836.2427612736	15473.4003957875	142.908924602
P37	1	7/13/2004	710144.184	5090869.478	477.8530064421	0	140.6524394568
P37	2	7/13/2004	710149	5090902	895.9743870789	8841.9430833071	183.6176113677
