plot	subplot	census_date	easting	northing	adult_density	sapling_density	ABG_biomass
W1	4	6/12/2006	708022.382	5091968.479	238.926503221	552.6214427067	34.4050969853
W10	1	6/19/2006	712902.502	5087487.635	59.7316258053	10499.8074114272	13.9234643988
W10	3	6/19/2006	712934.036	5087473.414	59.7316258053	8841.9430833071	12.1356182951
W10	4	6/19/2006	712874.562	5087466.569	597.3162580526	6631.4573124804	121.3459231325
W11	1	6/20/2006	713723.485	5094950.704	477.8530064421	11605.0502968406	63.5365399136
W11	3	6/20/2006	713756.337	5094935.389	179.1948774158	13262.9146249607	80.1561955632
W11	4	6/20/2006	713692.311	5094935.055	537.5846322473	18789.1290520277	47.6413333833
W12	1	6/20/2006	714171.927	5093937.501	657.0478838578	7736.7001978937	136.1641516488
W12	2	6/20/2006	714168.036	5093974.966	358.3897548315	1105.2428854134	64.6071572001
W12	4	6/20/2006	714144.169	5093918.117	59.7316258053	552.6214427067	3.5916156992
W13	1	6/21/2006	711724.212	5090807.97	298.6581290263	1657.8643281201	72.5409844772
W13	2	6/21/2006	711720.343	5090845.009	955.7060128841	2210.4857708268	138.6470810029
W13	3	6/21/2006	711758.502	5090798.257	179.1948774158	9947.1859687205	32.3364659992
W14	1	6/21/2006	711756.975	5091062.911	119.4632516105	9947.1859687205	17.9818443833
W14	3	6/21/2006	711790.016	5091047.75	537.5846322473	6631.4573124804	91.3523046338
W14	4	6/21/2006	711727.563	5091043.3	657.0478838578	2210.4857708268	49.2919674859
W15	1	6/21/2006	711344.35	5091846.952	0	1657.8643281201	24.8279911753
W15	3	6/21/2006	711377.728	5091836.279	298.6581290263	1105.2428854134	23.2937459642
W15	4	6/21/2006	711313.14	5091832.992	776.5111354683	3315.7286562402	77.8375019599
W16	1	6/22/2006	707145.641	5094965.22	0	0	0
W16	2	6/22/2006	707142.58	5095001.69	0	0	0
W16	3	6/22/2006	707178.481	5094954.439	119.4632516105	5526.214427067	23.0217552656
W17	1	6/22/2006	707121.212	5094868.19	1254.3641419104	552.6214427067	193.3473310451
W17	2	6/22/2006	707116.498	5094905.09	657.0478838578	4420.9715416536	103.8288428781
W17	3	6/22/2006	707150.355	5094850.261	1134.9008902999	0	167.6307184903
W18	1	6/23/2006	714209.105	5088685.097	0	17683.8861666143	20.735502443
W18	2	6/23/2006	714205.641	5088721.96	238.926503221	16578.6432812009	57.1104734045
W18	3	6/23/2006	714240.98	5088670.663	477.8530064421	1657.8643281201	77.9125913052
W19	1	6/26/2006	708297.544	5089538.868	537.5846322473	18236.507609321	83.5545174213
W19	2	6/26/2006	708292.789	5089574.215	477.8530064421	8841.9430833071	75.0497326177
W19	3	6/26/2006	708329.076	5089521.626	716.7795096631	0	120.9814374508
W2	1	6/13/2006	712839.628	5090710.129	1134.9008902999	4420.9715416536	184.0525170935
W2	4	6/13/2006	712811.122	5090688.614	1314.0957677157	1657.8643281201	157.6835870811
W20	1	6/26/2006	707283.037	5089912.328	836.2427612736	6631.4573124804	122.1543742208
W20	2	6/26/2006	707277.724	5089948.539	477.8530064421	7184.0787551871	115.7535041708
W20	3	6/26/2006	707319.241	5089897.344	59.7316258053	24315.3434790946	27.5240846397
W21	1	6/26/2006	708063.539	5089050.125	0	1657.8643281201	1.5409419798
W21	2	6/26/2006	708058.457	5089084.259	0	0	0
W21	4	6/26/2006	708032.327	5089033.206	238.926503221	6631.4573124804	74.8123424506
W22	1	6/27/2006	714815.542	5093549.444	238.926503221	1105.2428854134	21.9003781238
W22	2	6/27/2006	714810.466	5093585.345	836.2427612736	4973.5929843603	116.9552177941
W22	3	6/27/2006	714850.488	5093538.133	418.1213806368	552.6214427067	89.1427309524
W23	1	6/27/2006	714976.432	5092801.986	238.926503221	29841.5579061616	49.2286175951
W23	2	6/27/2006	714974.624	5092835.79	358.3897548315	12710.293182254	48.331953333
W23	3	6/27/2006	715011.477	5092790.371	716.7795096631	8289.3216406004	159.5274699282
W24	1	6/28/2006	713296.177	5093614.991	716.7795096631	552.6214427067	313.701780516
W24	3	6/28/2006	713329.831	5093598.617	119.4632516105	6631.4573124804	116.0719110291
W24	4	6/28/2006	713263.794	5093598.465	0	8841.9430833071	15.0289322909
W25	1	6/28/2006	713152.673	5094077.498	59.7316258053	11605.0502968406	14.3759219811
W25	2	6/28/2006	713150.034	5094112.836	418.1213806368	2763.1072135335	71.4225590902
W25	3	6/28/2006	713186.272	5094061.911	537.5846322473	30394.1793488683	158.1085248213
W26	1	6/29/2006	709562.654	5093364.54	836.2427612736	2763.1072135335	189.6931631321
W26	2	6/29/2006	709557.568	5093399.942	657.0478838578	1657.8643281201	103.0552753654
W26	3	6/29/2006	709592.034	5093347.705	1015.4376386894	3315.7286562402	122.7197424429
W27	1	6/29/2006	708985.29	5093491.811	119.4632516105	30946.800791575	20.1978249258
W27	3	6/29/2006	709014.218	5093472.199	179.1948774158	12710.293182254	20.528234439
W27	4	6/29/2006	708952.039	5093472.975	0	0	0
W28	1	6/30/2006	714754.128	5090002.393	298.6581290263	10499.8074114272	40.8799482233
W28	3	6/30/2006	714784.319	5089983.033	179.1948774158	7184.0787551871	39.9779690712
W28	4	6/30/2006	714723.126	5089980.593	238.926503221	6631.4573124804	59.3075982274
W29	1	7/6/2006	707584.395	5094207.216	955.7060128841	9947.1859687205	167.7622606419
W29	3	7/6/2006	707618.792	5094195.567	537.5846322473	552.6214427067	87.3532826605
W29	4	7/6/2006	707556.116	5094184.862	1194.6325161051	2210.4857708268	136.7466291077
W3	1	6/13/2006	712842.914	5090461.594	716.7795096631	3868.3500989469	135.0411047346
W3	3	6/13/2006	712879.937	5090456.534	597.3162580526	4420.9715416536	126.0960627364
W3	4	6/13/2006	712815.127	5090435.885	895.9743870789	6631.4573124804	151.2370695131
W30	1	7/6/2006	708566.115	5093848.189	776.5111354683	1657.8643281201	195.434165431
W30	2	7/6/2006	708561.82	5093882.078	179.1948774158	25973.2078072147	33.9041679737
W30	3	7/6/2006	708599.233	5093836.061	0	0	0
W31	1	7/7/2006	714215.04	5087317.669	895.9743870789	8841.9430833071	127.3468438395
W31	2	7/7/2006	714213.335	5087351.994	597.3162580526	7736.7001978937	87.459083884
W31	4	7/7/2006	714183.559	5087298.338	597.3162580526	6078.8358697737	124.1242180102
W32	1	7/7/2006	714304.71	5087140.199	119.4632516105	12157.6717395473	60.6093371742
W32	2	7/7/2006	714301.715	5087176.032	59.7316258053	13815.5360676674	76.4620429066
W32	3	7/7/2006	714336.517	5087124.219	1075.1692644946	5526.214427067	121.8576546906
W33	2	7/10/2006	709229.007	5088842.263	119.4632516105	9394.5645260138	32.7805519924
W33	3	7/10/2006	709263.276	5088789.851	298.6581290263	19894.371937441	38.3073493357
W34	1	7/10/2006	708841.267	5089090.397	0	8841.9430833071	18.1444965989
W34	2	7/10/2006	708837.829	5089126.524	119.4632516105	3868.3500989469	19.5842488401
W34	4	7/10/2006	708810.24	5089069.483	119.4632516105	4973.5929843603	52.128018798
W35	1	7/10/2006	708683.33	5088805.195	537.5846322473	6078.8358697737	65.4909828279
W35	2	7/10/2006	708682.04	5088841.629	597.3162580526	7184.0787551871	91.0623710359
W35	3	7/10/2006	708716.078	5088791.615	358.3897548315	4973.5929843603	35.4922028683
W36	1	7/11/2006	710514.205	5094353.964	179.1948774158	28183.6935780415	26.2490892631
W36	2	7/11/2006	710513.23	5094389.539	597.3162580526	4420.9715416536	53.7462986959
W36	3	7/11/2006	710547.576	5094341.406	358.3897548315	12710.293182254	39.3229389158
W37	1	7/11/2006	710406.325	5094404.939	418.1213806368	31499.4222342816	67.0888777869
W37	2	7/11/2006	710406.908	5094439.293	1075.1692644946	9947.1859687205	144.4058140909
W37	4	7/11/2006	710376.188	5094386.051	59.7316258053	32604.665119695	28.4064185083
W38	1	7/11/2006	710297.894	5094238.915	1134.9008902999	6078.8358697737	138.581094841
W38	2	7/11/2006	710293.397	5094276.822	597.3162580526	11052.4288541339	45.5910497727
W38	3	7/11/2006	710331.753	5094227.753	477.8530064421	15473.4003957875	74.5449047564
W39	1	7/12/2006	711544.413	5088147.41	119.4632516105	3315.7286562402	19.2279856548
W39	2	7/12/2006	711541.915	5088183.459	0	12710.293182254	3.843358102
W39	4	7/12/2006	711512.266	5088132.464	716.7795096631	6078.8358697737	92.5171739513
W4	1	6/14/2006	708205.953	5094722.464	1194.6325161051	1105.2428854134	117.3469092286
W4	3	6/14/2006	708238.993	5094717.141	537.5846322473	1657.8643281201	81.718724148
W40	1	7/12/2006	711195.234	5088380.642	716.7795096631	4973.5929843603	75.9030977677
W40	2	7/12/2006	711189.486	5088415.05	955.7060128841	8841.9430833071	93.7594747367
W40	3	7/12/2006	711227.021	5088364.246	537.5846322473	8289.3216406004	84.8165356145
W41	1	7/13/2006	711363.6	5089985.315	597.3162580526	7184.0787551871	100.5831436766
W41	2	7/13/2006	711360.106	5090023.429	477.8530064421	8289.3216406004	109.2707154056
W41	3	7/13/2006	711397.313	5089972.231	836.2427612736	2763.1072135335	137.8200956266
W42	1	7/13/2006	711275.413	5089863.464	1075.1692644946	2763.1072135335	106.3410510612
W42	2	7/13/2006	711270.335	5089898.763	358.3897548315	6078.8358697737	40.9130019521
W42	4	7/13/2006	711244.657	5089844.508	836.2427612736	3868.3500989469	109.5915525218
W43	1	7/14/2006	710386.865	5093756.258	1433.5590193262	8289.3216406004	184.3249477356
W43	2	7/14/2006	710384.675	5093795.187	895.9743870789	0	158.2497640731
W43	4	7/14/2006	710359.728	5093734.89	1194.6325161051	1105.2428854134	144.329356402
W44	1	7/17/2006	711506.534	5092654.364	298.6581290263	7736.7001978937	69.7829334277
W44	3	7/17/2006	711532.926	5092631.29	238.926503221	3868.3500989469	38.9343077746
W44	3	7/17/2006	711537.931	5092638.475	238.926503221	3868.3500989469	38.9343077746
W45	1	7/17/2006	711685.544	5093105.137	358.3897548315	18236.507609321	50.230191786
W45	3	7/17/2006	711716.616	5093091.678	119.4632516105	22104.8577082678	21.8885896683
W45	4	7/17/2006	711654.586	5093087.011	298.6581290263	14368.1575103741	74.2081541895
W46	1	7/18/2006	711309.598	5093609.133	657.0478838578	16578.6432812009	88.1588034361
W46	2	7/18/2006	711305.046	5093645.591	0	0	0
W46	4	7/18/2006	711280.139	5093586.127	657.0478838578	2210.4857708268	89.7954680846
W47	1	7/19/2006	707517.307	5093301.917	836.2427612736	2210.4857708268	169.3331152147
W47	2	7/19/2006	707513.058	5093336.784	716.7795096631	1105.2428854134	140.1115874601
W47	3	7/19/2006	707549.947	5093286.84	836.2427612736	7736.7001978937	112.0751790124
W48	1	7/19/2006	708404.806	5093920.626	716.7795096631	12157.6717395473	63.582815424
W48	3	7/19/2006	708437.762	5093907.691	1373.8273935209	1657.8643281201	126.5839305815
W48	4	7/19/2006	708377.62	5093898.184	597.3162580526	11605.0502968406	84.3950824683
W49	1	7/20/2006	708821.118	5088191.869	716.7795096631	7184.0787551871	77.9795325565
W49	2	7/20/2006	708818.561	5088227.678	836.2427612736	8289.3216406004	111.5923973559
W49	3	7/20/2006	708853.971	5088178.056	119.4632516105	35920.3937759352	27.3943048722
W5	1	6/14/2006	708078.979	5094028.929	1075.1692644946	2210.4857708268	164.1894581596
W5	2	6/14/2006	708077.271	5094066.707	1612.7538967419	2210.4857708268	171.0360850521
W5	4	6/14/2006	708052.384	5094011.807	716.7795096631	4420.9715416536	168.0937692251
W50	1	7/20/2006	708901.875	5088091.587	1254.3641419104	8841.9430833071	149.7359881007
W50	3	7/20/2006	708934.963	5088081.936	1015.4376386894	24315.3434790946	112.8415019123
W50	4	7/20/2006	708871.186	5088077.713	1791.9487741577	4973.5929843603	147.7353336234
W51	1	7/24/2006	707646.842	5093066.688	955.7060128841	4420.9715416536	108.9151675414
W51	2	7/24/2006	707646.524	5093100.845	597.3162580526	9947.1859687205	146.3302169988
W51	3	7/24/2006	707682.922	5093050.874	597.3162580526	12157.6717395473	83.3588919094
W51	4	7/24/2006	707482.131	5093014.405	0	0	0
W52	1	7/24/2006	707511.67	5093035.071	1314.0957677157	1105.2428854134	141.307468643
W52	2	7/24/2006	707504.291	5093069.369	1254.3641419104	3315.7286562402	133.8520185443
W53	1	7/25/2006	712522.453	5092505.064	1493.2906451314	6078.8358697737	118.0020209423
W53	2	7/25/2006	712517.522	5092541.982	1254.3641419104	7736.7001978937	120.493360154
W53	3	7/25/2006	712558.15	5092495.135	119.4632516105	4420.9715416536	60.5361363832
W54	1	7/25/2006	712214.146	5092065.634	1134.9008902999	11605.0502968406	122.2707544308
W54	3	7/25/2006	712245.737	5092049.482	836.2427612736	12157.6717395473	93.121155968
W54	4	7/25/2006	712184.546	5092046.547	836.2427612736	17131.2647239076	83.0632036093
W55	1	7/26/2006	710939.244	5090315.497	298.6581290263	22104.8577082678	39.4191236868
W55	2	7/26/2006	710932.265	5090349.699	418.1213806368	5526.214427067	87.9273561642
W55	3	7/26/2006	710969.908	5090299.007	298.6581290263	3315.7286562402	34.2757054868
W56	1	7/27/2006	707835.682	5094648.855	59.7316258053	4973.5929843603	51.9126725989
W56	2	7/27/2006	707830.817	5094681.914	597.3162580526	0	37.0938117872
W56	3	7/27/2006	707872.183	5094635.421	179.1948774158	2210.4857708268	61.4231347797
W57	1	7/27/2006	707148.686	5093990.537	1015.4376386894	12157.6717395473	128.5151591776
W57	3	7/27/2006	707181.147	5093975.866	836.2427612736	7736.7001978937	79.7809903503
W57	4	7/27/2006	707120.633	5093970.173	955.7060128841	7184.0787551871	240.2102771784
W58	1	7/28/2006	714324.969	5091053.832	477.8530064421	7184.0787551871	54.3147589461
W58	3	7/28/2006	714360.277	5091044.257	358.3897548315	4420.9715416536	41.2916593746
W58	4	7/28/2006	714296.688	5091030.969	358.3897548315	9947.1859687205	97.6297566716
W59	1	7/31/2006	711403.16	5090366.851	477.8530064421	4420.9715416536	79.760510714
W59	2	7/31/2006	711402.552	5090403.063	298.6581290263	7736.7001978937	105.4087849563
W59	3	7/31/2006	711435.904	5090349.88	895.9743870789	5526.214427067	120.5189999218
W6	1	6/15/2006	707654.675	5091874.641	238.926503221	23762.7220363879	56.92292325
W6	2	6/15/2006	707648.158	5091912.005	537.5846322473	23762.7220363879	56.2152736526
W6	4	6/15/2006	707627.067	5091851.742	59.7316258053	0	17.160468297
W60	1	8/1/2006	711826.912	5093323.657	0	0	0
W60	2	8/1/2006	711819.806	5093361.562	0	0	0
W60	3	8/1/2006	711858.832	5093308.692	119.4632516105	20446.9933801477	14.0129578755
W61	1	8/1/2006	712463.997	5093182.53	59.7316258053	4420.9715416536	36.5734990755
W61	2	8/1/2006	712459.923	5093219.057	836.2427612736	4973.5929843603	78.5982895481
W61	3	8/1/2006	712497.371	5093169.229	0	3868.3500989469	5.30543315
W62	1	8/2/2006	710312.8	5087461.301	358.3897548315	7736.7001978937	48.8661639904
W62	3	8/2/2006	710344.455	5087447.059	537.5846322473	8289.3216406004	83.4322751369
W62	4	8/2/2006	710286.889	5087435.586	298.6581290263	0	57.2337306393
W63	1	8/2/2006	710359.697	5087181.714	238.926503221	11605.0502968406	29.8701791255
W63	2	8/2/2006	710357.299	5087217.304	238.926503221	13815.5360676674	40.8032072208
W63	3	8/2/2006	710388.756	5087162.301	597.3162580526	9394.5645260138	65.0432889697
W64	1	8/3/2006	708068.833	5093653.498	597.3162580526	4420.9715416536	80.5349981263
W64	3	8/3/2006	708101.753	5093637.141	716.7795096631	8289.3216406004	106.0055908207
W64	4	8/3/2006	708038.681	5093632.353	358.3897548315	4973.5929843603	110.9323455353
W65	1	8/3/2006	709369.497	5094202.636	597.3162580526	2763.1072135335	70.4859101363
W65	2	8/3/2006	709364.765	5094237.479	0	5526.214427067	3.0471247401
W65	4	8/3/2006	709341.657	5094182.317	477.8530064421	4973.5929843603	44.2179413907
W66	1	8/7/2006	709011.024	5087816.233	477.8530064421	8841.9430833071	64.0721405394
W66	3	8/7/2006	709041.162	5087797.389	179.1948774158	12157.6717395473	27.5201645963
W66	4	8/7/2006	708982.38	5087795.521	238.926503221	12157.6717395473	32.6730621944
W67	1	8/8/2006	710895.23	5090065.647	59.7316258053	0	3.2651028502
W67	3	8/8/2006	710927.849	5090051.662	0	0	0
W67	4	8/8/2006	710866.358	5090044.953	59.7316258053	0	12.9901407473
W68	1	8/8/2006	711358.12	5090163.979	836.2427612736	9394.5645260138	109.6383936042
W68	2	8/8/2006	711353.229	5090199.504	716.7795096631	6078.8358697737	97.862312001
W68	4	8/8/2006	711330.427	5090144.169	418.1213806368	12157.6717395473	60.2473994147
W69	1	8/9/2006	709338.089	5094610.433	0	0	0
W69	2	8/9/2006	709334.548	5094648.237	298.6581290263	27078.4506926281	92.3118935388
W69	4	8/9/2006	709310.178	5094588.126	657.0478838578	4973.5929843603	95.8086941792
W7	1	6/15/2006	707735.898	5090798.236	1732.2171483525	3315.7286562402	147.05926273
W7	3	6/15/2006	707771.201	5090782.627	477.8530064421	9947.1859687205	38.3236808204
W7	4	6/15/2006	707710.179	5090772.125	2030.8752773787	4973.5929843603	130.724312277
W70	1	8/10/2006	711776.475	5089003.563	298.6581290263	11052.4288541339	42.0051481391
W70	2	8/10/2006	711774.152	5089040.365	238.926503221	23762.7220363879	51.9121141401
W70	4	8/10/2006	711748.104	5088986.915	895.9743870789	2763.1072135335	86.8394655421
W71	1	8/10/2006	711978.719	5088864.197	0	1657.8643281201	0.0539564115
W71	2	8/10/2006	711977.655	5088900.999	0	0	0
W71	4	8/10/2006	711948.827	5088843.741	0	20446.9933801477	14.4590925216
W72	1	8/14/2006	714753.148	5094962.687	119.4632516105	8841.9430833071	27.0257739834
W72	1	8/14/2006	714751.848	5094999.119	119.4632516105	8841.9430833071	27.0257739834
W72	3	8/14/2006	714786.311	5094950.542	716.7795096631	1105.2428854134	194.8786442986
W73	1	8/14/2006	714926.295	5094880.892	776.5111354683	2210.4857708268	66.5308881853
W73	3	8/14/2006	714960.922	5094866.78	477.8530064421	0	39.696911533
W73	4	8/14/2006	714896.14	5094857.614	238.926503221	5526.214427067	27.0360179226
W74	1	8/14/2006	714854.346	5094567.168	537.5846322473	3315.7286562402	41.1994468197
W74	4	8/14/2006	714825.896	5094548.503	477.8530064421	6078.8358697737	61.531243145
W75	1	8/15/2006	710423.213	5087690.15	298.6581290263	17683.8861666143	28.8227113603
W75	2	8/15/2006	710417.458	5087724.866	0	0	0
W75	4	8/15/2006	710394.43	5087669.593	59.7316258053	41446.6082030022	27.5914666184
W76	1	8/15/2006	710412.597	5087609.259	298.6581290263	2210.4857708268	53.8811932955
W76	3	8/15/2006	710445.677	5087594.489	418.1213806368	9394.5645260138	61.7843931761
W76	4	8/15/2006	710383.817	5087589.084	597.3162580526	3315.7286562402	106.3277749169
W77	1	8/15/2006	714011.785	5092986.23	0	6631.4573124804	11.9627200694
W77	3	8/15/2006	714045.362	5092973.894	0	8841.9430833071	23.6245880828
W77	4	8/15/2006	713983.338	5092967.108	0	4420.9715416536	27.5453322928
W78	1	8/16/2006	710124.397	5092527.391	477.8530064421	2763.1072135335	43.5243333303
W78	3	8/16/2006	710157.197	5092510.555	238.926503221	18236.507609321	53.0993125504
W78	4	8/16/2006	710093.92	5092507.424	477.8530064421	9394.5645260138	59.9312231043
W79	1	8/17/2006	712532.503	5090844.589	418.1213806368	8841.9430833071	50.9845470303
W79	3	8/17/2006	712567.504	5090835.521	716.7795096631	2210.4857708268	85.9692245279
W79	4	8/17/2006	712506.607	5090821.511	657.0478838578	0	57.9748706864
W8	1	6/16/2006	712686.691	5094795.058	418.1213806368	22657.4791509745	74.5648595437
W8	3	6/16/2006	712719.611	5094783.131	597.3162580526	7736.7001978937	97.8258598811
W8	4	6/16/2006	712661.568	5094774.941	0	0	0
W80	1	8/17/2006	713563.117	5093100.019	955.7060128841	3315.7286562402	99.9391626803
W80	2	8/17/2006	713559.941	5093135.913	955.7060128841	2210.4857708268	70.6138939526
W80	3	8/17/2006	713596.258	5093086.833	836.2427612736	18236.507609321	88.4410243383
W81	1	8/21/2006	708372.579	5088355.396	0	0	0
W81	2	8/21/2006	708371.427	5088392.941	597.3162580526	23762.7220363879	67.6426239636
W81	3	8/21/2006	708403.477	5088340.353	477.8530064421	4420.9715416536	38.8364230111
W82	1	8/21/2006	708695.02	5088212.478	477.8530064421	16578.6432812009	58.3561047065
W82	2	8/21/2006	708686.756	5088246.993	238.926503221	15473.4003957875	53.4930867971
W82	3	8/21/2006	708729.186	5088202.256	358.3897548315	8289.3216406004	41.953752056
W83	1	8/22/2006	712372.47	5093974.4	418.1213806368	5526.214427067	123.9913872832
W83	2	8/22/2006	712367.691	5094010.998	657.0478838578	552.6214427067	195.509167322
W83	3	8/22/2006	712404.191	5093961.164	119.4632516105	14920.7789530808	60.1802121761
W84	1	8/22/2006	712762.963	5094061.428	238.926503221	12157.6717395473	89.6782049993
W84	3	8/22/2006	712797.186	5094046.738	179.1948774158	14920.7789530808	32.2717055495
W84	4	8/22/2006	712735.218	5094038.948	418.1213806368	11605.0502968406	34.9877901179
W85	1	8/23/2006	707384.231	5087201.549	59.7316258053	4420.9715416536	18.4859406152
W85	2	8/23/2006	707380.46	5087237.446	238.926503221	1657.8643281201	18.1759835589
W85	4	8/23/2006	707354.336	5087178.344	418.1213806368	552.6214427067	31.0439299398
W86	1	8/24/2006	714737.257	5090778.236	179.1948774158	14920.7789530808	20.2478732879
W86	3	8/24/2006	714769.825	5090763.99	358.3897548315	1657.8643281201	59.0504986092
W86	4	8/24/2006	714708.267	5090754.53	477.8530064421	17683.8861666143	60.026588334
W87	1	8/25/2006	713916.452	5093350.382	477.8530064421	11605.0502968406	65.2405344641
W87	2	8/25/2006	713913.995	5093384.577	119.4632516105	14920.7789530808	34.6473573973
W87	4	8/25/2006	713888.423	5093327.631	716.7795096631	8289.3216406004	141.8623515427
W88	1	8/26/2006	714762.909	5094598.852	537.5846322473	0	72.2276951894
W88	2	8/26/2006	714759.174	5094633.931	836.2427612736	1105.2428854134	89.8349105093
W88	3	8/26/2006	714796.396	5094583.375	179.1948774158	12157.6717395473	29.109911299
W89	1	8/28/2006	708535.322	5094632.75	776.5111354683	3315.7286562402	109.1576745693
W89	3	8/28/2006	708567.831	5094623.405	597.3162580526	4973.5929843603	113.4596351607
W89	4	8/28/2006	708507.127	5094611.294	418.1213806368	7184.0787551871	46.6785503474
W9	1	6/19/2006	712978.46	5087656.96	298.6581290263	14920.7789530808	38.022767851
W9	2	6/19/2006	712967.888	5087690.092	418.1213806368	0	43.2700388968
W9	4	6/19/2006	712947.308	5087636.219	477.8530064421	7736.7001978937	115.9238492622
W90	1	8/28/2006	708860.314	5087823.396	358.3897548315	12157.6717395473	60.1839958672
W90	2	8/28/2006	708856.651	5087857.576	418.1213806368	2210.4857708268	58.3160778406
W90	4	8/28/2006	708830.445	5087802.382	298.6581290263	3868.3500989469	35.1176517269
W91	1	8/29/2006	713220.244	5090615.613	836.2427612736	1657.8643281201	116.6870813412
W91	3	8/29/2006	713253.977	5090604.456	537.5846322473	4420.9715416536	91.897800036
W91	4	8/29/2006	713189.387	5090595.288	597.3162580526	9394.5645260138	204.430355434
W92	1	8/29/2006	713102.309	5094308.888	895.9743870789	1657.8643281201	77.1795405111
W92	3	8/29/2006	713133.801	5094292.562	298.6581290263	4420.9715416536	120.1795434295
