"year","years_per_iteration","surface_elevation","aboveground_biomass","belowground_biomass","totalRootVolume","sediment_delivered","rootToShoot","rootTurnover","abovegroundTurnover","rootDepthMax","rootPackingDensity","lambda","rootShape","cumulativeTotalOm","cumulativeSequesteredOm","omFlux","omSequestration","cFlux","cSequestration"
1938,1,-4.5722766233223,0.0597178198562888,0.101520293755691,1.45028991079559,0.0141566193856268,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.1795294485146,68.00716166304,0.0634060823194886,0.0633448247641155,0.0304349195133545,0.0304055158867754
1939,1,-3.92842075402029,0.0597515787595713,0.101577683891271,1.4511097698753,0.0139708242108946,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.2429839823444,68.0705293852048,0.063454533829784,0.063367722164827,0.0304581762382963,0.030416506639117
1940,1,-3.28416304938798,0.0597944053800359,0.101650489146061,1.45214984494373,0.0137351630507112,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.3064978006298,68.1339304373088,0.0635138182854149,0.0634010521039841,0.0304866327769992,0.0304325050099123
1941,1,-2.63943676969143,0.0598460555789937,0.101738294484289,1.45340420691842,0.0134510081719988,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.3700813601342,68.1973754705866,0.0635835595043801,0.06344503327783,0.0305201085621024,0.0304536159733584
1942,1,-1.99418565760391,0.0599058762111732,0.101839989558995,1.45485699369992,0.0131219875903563,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.4337436291598,68.2608748483448,0.0636622690255848,0.0634993777582196,0.0305578891322807,0.0304797013239454
1943,1,-1.34835838038214,0.0599731755410553,0.101954398419794,1.45649140599706,0.0127519454795913,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.4974922562886,68.3244381654081,0.063748627128831,0.0635633170632985,0.0305993410218389,0.0305103921903833
1944,1,-0.701909796790801,0.0600472332707733,0.102080296560315,1.45828995086164,0.0123448861905648,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.561333977598,68.3880742028523,0.0638417213093874,0.0636360374441978,0.0306440262285059,0.0305452979732149
1945,1,-0.0548010292103527,0.0601273065085257,0.102216421064494,1.46023458663562,0.0119049406274879,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.6252746094647,68.4517908945252,0.0639406318667284,0.0637166916728944,0.0306915032960296,0.0305840120029893
1946,1,0.59300049506146,0.0602126362227654,0.102361481578701,1.46230687969573,0.0114363299740136,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.6893190402482,68.5155953005833,0.0640444307835111,0.063804406058054,0.0307413267760853,0.0306261149078659
1947,1,1.24152104720906,0.0603024535109172,0.102514170968559,1.4644881566937,0.010943330463636,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.7534712297261,68.579493588615,0.0641521894779089,0.0638982880317087,0.0307930509493963,0.0306711782552202
1948,1,1.89078064652892,0.0603959856783062,0.102673175653121,1.46675965218744,0.0104302392195847,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.8177342153613,68.6434910221315,0.064262985635196,0.0639974335164766,0.030846233104894,0.0307187680879088
1949,1,2.54079315440822,0.0604924621146629,0.102837185594927,1.4691026513561,0.00990134123530219,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.8821101251439,68.7075919562012,0.0643759097825551,0.0641009340697423,0.0309004366956265,0.0307684483534763
1950,1,3.19156641068275,0.0605911199527484,0.103004903919672,1.47149862742389,0.00936087758225378,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.9466001967282,68.7717998399903,0.0644900715843022,0.0642078837891233,0.0309552343604651,0.0308197842187792
1951,1,3.84321712918745,0.060695933212166,0.103183086460682,1.47404409229546,0.0087871703769529,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.0112128328842,68.8361172259508,0.0646126361559709,0.0643173859605071,0.031014065354866,0.0308723452610434
1952,1,4.49584524349837,0.0608094912901627,0.103376135193277,1.47680193133252,0.00816621169751122,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.0759643176748,68.9005513357526,0.0647514847906763,0.0644341098017236,0.0310807126995246,0.0309283727048273
1953,1,5.14944552354007,0.0609289771195633,0.103579261103258,1.47970373004654,0.00751361466098227,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.1408632147214,68.9651124328849,0.0648988970465183,0.0645610971323265,0.0311514705823288,0.0309893266235167
1954,1,5.80400909686023,0.0610516414014381,0.103787790382445,1.48268271974921,0.00684460455639497,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.2059085234624,69.0298074697571,0.0650453087409915,0.064695036872223,0.0312217481956759,0.031053617698667
1955,1,6.45950815604283,0.0611749029659632,0.103997335042137,1.48567621488768,0.00617346163419549,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.2710963139788,69.0946401676568,0.0651877905164895,0.0648326978996892,0.031290139447915,0.0311196949918508
1956,1,7.11589859970263,0.0612963891261782,0.104203861514503,1.48862659306433,0.00549378725136755,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.3364201752374,69.1596112146251,0.0653238612585199,0.0649710469682674,0.0313554534040895,0.0311861025447683
1957,1,7.77310957641305,0.0614139764478306,0.104403759961312,1.4914822851616,0.00481565734026768,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.4018715789024,69.2247185107268,0.0654514036650227,0.065107296101786,0.0314166737592109,0.0312515021288573
1958,1,8.43105797577459,0.0615258197411718,0.104593893559992,1.49419847942846,0.00417217271569693,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.4674402701703,69.289957461202,0.0655686912679272,0.0652389504751341,0.0314729718086051,0.0313146962280643
1959,1,9.08966768422181,0.061630381848214,0.104771649141964,1.4967378448852,0.00357226601493947,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,69.5331146801436,69.3553213036517,0.065674409973326,0.0653638424497416,0.0315237167871965,0.031374644375876
