"","DayofYear","Hour","ThermalT","Stem","Leaf","Root","Rhizome","Grain","LAI","SoilEvaporation","CanopyTrans"
"5100",302,10,3486.89697828718,16.1918625116806,1.3504878941191,3.04091630684437,0.674018989213766,0,1.76325295158257,0.173933472295314,0.399573687945137
"5101",302,11,3487.47878450932,16.20033545696,1.35106737318553,3.04141889557936,0.673757450958457,0,1.76400954346223,0.201339079301362,0.419383049192348
"5102",302,12,3488.06868034266,16.2090823720005,1.35167511830655,3.04195322055362,0.673493013603841,0,1.76480304067396,0.210622796270162,0.441899979948117
"5103",302,13,3488.66552288261,16.2174912716482,1.35224199815735,3.04242954431136,0.673226076929433,0,1.76554318249563,0.201126382264974,0.465269571331949
"5104",302,14,3489.26769581803,16.2248922975994,1.35269261228688,3.04275016345127,0.672957232050378,0,1.7661315229742,0.173588483613424,0.485117594987107
"5105",302,15,3489.87321958012,16.230433353931,1.35293113086331,3.04279084535521,0.672687221209794,0,1.76644294271052,0.130152483373941,0.497260325103697
"5106",302,16,3490.47988624678,16.2330189659134,1.35283423931049,3.04239162407997,0.67241688319587,0,1.76631643708449,0.0746387030587544,0.485232817799487
"5107",302,17,3491.08541000887,16.2316770368538,1.35229248941561,3.04141105910416,0.672147089159626,0,1.76560910597451,0.0161692855429491,0.306935973736725
"5108",302,18,3491.68758294429,16.2287335089186,1.35156383635059,3.04019692324441,0.671878675161588,0,1.76465774634132,5.24228781682566e-07,0.248517514661283
"5109",302,19,3492.28442548424,16.225815910319,1.35083258360478,3.03899286045233,0.671612378324754,0,1.76370299245717,5.22213140171011e-07,0.26604111879964
"5110",302,20,3492.87432131758,16.2229286835662,1.35010427054391,3.03780121931008,0.671348782871524,0,1.76275207674748,5.19383105714754e-07,0.279141201562037
"5111",302,21,3493.45612753972,16.2200755144887,1.34938111443646,3.03662367862108,0.671088280731101,0,1.76180789416987,5.15951005262797e-07,0.285561248973556
