 Wavelength Refl Tran
 956 0.4203 0.5280 
 957 0.4199 0.5267 
 958 0.4202 0.5261 
 959 0.4196 0.5262 
 960 0.4200 0.5256 
 961 0.4187 0.5264 
 962 0.4190 0.5254 
 963 0.4194 0.5251 
 964 0.4190 0.5265 
 965 0.4194 0.5262 
 966 0.4194 0.5264 
 967 0.4180 0.5260 
 968 0.4186 0.5266 
 969 0.4191 0.5265 
 970 0.4183 0.5255 
 971 0.4187 0.5261 
 972 0.4176 0.5269 
 973 0.4175 0.5258 
 974 0.4176 0.5262 
 975 0.4171 0.5258 
 976 0.4169 0.5262 
 977 0.4179 0.5271 
 978 0.4177 0.5269 
 979 0.4174 0.5246 
 980 0.4174 0.5259 
 981 0.4171 0.5257 
 982 0.4178 0.5259 
 983 0.4172 0.5255 
 984 0.4181 0.5269 
 985 0.4176 0.5263 
 986 0.4178 0.5259 
 987 0.4179 0.5261 
 988 0.4184 0.5262 
 989 0.4175 0.5268 
 990 0.4182 0.5261 
 991 0.4178 0.5263 
 992 0.4178 0.5272 
 993 0.4185 0.5276 
 994 0.4190 0.5276 
 995 0.4195 0.5277 
 996 0.4187 0.5285 
 997 0.4197 0.5277 
 998 0.4180 0.5276 
 999 0.4184 0.5279 
1000 0.4194 0.5284 
1001 0.4181 0.5289 
1002 0.4196 0.5287 
1003 0.4187 0.5289 
1004 0.4198 0.5288 
1005 0.4191 0.5294 
1006 0.4201 0.5296 
1007 0.4199 0.5302 
1008 0.4203 0.5300 
1009 0.4203 0.5301 
1010 0.4202 0.5298 
1011 0.4201 0.5290 
1012 0.4200 0.5299 
1013 0.4205 0.5303 
1014 0.4203 0.5308 
1015 0.4200 0.5309 
1016 0.4213 0.5305 
1017 0.4205 0.5306 
1018 0.4205 0.5307 
1019 0.4210 0.5305 
1020 0.4215 0.5310 
1021 0.4214 0.5313 
1022 0.4212 0.5319 
1023 0.4208 0.5320 
1024 0.4210 0.5320 
1025 0.4206 0.5322 
1026 0.4225 0.5323 
1027 0.4209 0.5322 
1028 0.4207 0.5319 
1029 0.4222 0.5327 
1030 0.4225 0.5330 
1031 0.4221 0.5329 
1032 0.4222 0.5341 
1033 0.4214 0.5333 
1034 0.4220 0.5330 
1035 0.4220 0.5324 
1036 0.4220 0.5339 
1037 0.4226 0.5329 
1038 0.4216 0.5337 
1039 0.4218 0.5338 
1040 0.4225 0.5345 
1041 0.4229 0.5343 
1042 0.4222 0.5356 
1043 0.4229 0.5354 
1044 0.4234 0.5351 
1045 0.4232 0.5355 
1046 0.4237 0.5350 
1047 0.4229 0.5349 
1048 0.4228 0.5346 
1049 0.4226 0.5353 
1050 0.4230 0.5346 
1051 0.4233 0.5353 
1052 0.4230 0.5361 
1053 0.4227 0.5355 
1054 0.4225 0.5343 
1055 0.4232 0.5348 
1056 0.4233 0.5352 
1057 0.4228 0.5341 
1058 0.4223 0.5351 
1059 0.4224 0.5354 
1060 0.4244 0.5360 
1061 0.4243 0.5368 
1062 0.4231 0.5368 
1063 0.4227 0.5358 
1064 0.4231 0.5363 
1065 0.4236 0.5373 
1066 0.4232 0.5365 
1067 0.4228 0.5364 
1068 0.4227 0.5360 
1069 0.4225 0.5369 
1070 0.4216 0.5363 
1071 0.4224 0.5367 
1072 0.4219 0.5365 
1073 0.4226 0.5368 
1074 0.4231 0.5373 
1075 0.4236 0.5372 
1076 0.4223 0.5365 
1077 0.4227 0.5362 
1078 0.4234 0.5371 
1079 0.4232 0.5366 
1080 0.4232 0.5373 
1081 0.4228 0.5367 
1082 0.4223 0.5361 
1083 0.4234 0.5374 
1084 0.4237 0.5366 
1085 0.4227 0.5377 
1086 0.4225 0.5378 
1087 0.4226 0.5368 
1088 0.4229 0.5375 
1089 0.4220 0.5375 
1090 0.4230 0.5376 
1091 0.4222 0.5367 
1092 0.4225 0.5372 
1093 0.4223 0.5370 
1094 0.4215 0.5374 
1095 0.4214 0.5370 
1096 0.4206 0.5361 
1097 0.4215 0.5371 
1098 0.4216 0.5372 
1099 0.4211 0.5375 
1100 0.4217 0.5368 
1101 0.4203 0.5370 
1102 0.4209 0.5374 
1103 0.4209 0.5367 
1104 0.4206 0.5367 
1105 0.4209 0.5361 
1106 0.4210 0.5362 
1107 0.4205 0.5356 
1108 0.4201 0.5356 
1109 0.4200 0.5359 
