wavelength_nm,refractive_index,specific_abs_coeff_chl,specific_abs_coeff_car,specific_abs_coeff_cw,specific_abs_coeff_cm
591,1.41028,0.02185,0,0.00141,2.3
592,1.41008,0.02199,0,0.00146,2.3
593,1.40989,0.02211,0,0.00151,2.3
594,1.40969,0.02222,0,0.00157,2.3
595,1.40949,0.02231,0,0.00164,2.3
596,1.40929,0.02241,0,0.0017,2.3
597,1.40912,0.0225,0,0.00176,2.3
598,1.40894,0.02259,0,0.00186,2.3
599,1.40876,0.02269,0,0.00204,2.3
600,1.40858,0.02279,0,0.00222,2.3
601,1.4084,0.02291,0,0.00232,2.3
602,1.40824,0.02304,0,0.00237,2.3
603,1.40808,0.02319,0,0.0024,2.3
604,1.40793,0.02337,0,0.00245,2.3
605,1.4078,0.02356,0,0.00252,2.3
606,1.4077,0.02378,0,0.00259,2.3
607,1.40762,0.02403,0,0.00263,2.3
608,1.40757,0.0243,0,0.00265,2.3
609,1.40754,0.02458,0,0.00267,2.3
610,1.40752,0.02489,0,0.00269,2.3
611,1.40752,0.0252,0,0.0027,2.3
612,1.40754,0.02552,0,0.00272,2.3
613,1.40759,0.02586,0,0.00273,2.3
614,1.40768,0.0262,0,0.00274,2.3
615,1.40776,0.02654,0,0.00275,2.3
616,1.40786,0.02687,0,0.00276,2.3
617,1.40797,0.02719,0,0.00277,2.3
618,1.40807,0.0275,0,0.00279,2.3
619,1.40816,0.02778,0,0.0028,2.3
620,1.40823,0.02803,0,0.00281,2.3
621,1.40828,0.02826,0,0.00282,2.3
622,1.40831,0.02845,0,0.00284,2.3
623,1.40831,0.02862,0,0.00285,2.3
624,1.4083,0.02877,0,0.00287,2.3
625,1.40825,0.02888,0,0.00288,2.3
626,1.40818,0.02898,0,0.00289,2.3
627,1.40807,0.02905,0,0.00291,2.3
628,1.40795,0.0291,0,0.00292,2.3
629,1.40782,0.02916,0,0.00294,2.3
630,1.40772,0.02921,0,0.00296,2.3
631,1.40765,0.02928,0,0.00297,2.3
632,1.40762,0.02938,0,0.00299,2.3
633,1.40767,0.02951,0,0.003,2.3
634,1.40779,0.02969,0,0.00301,2.3
635,1.40799,0.02993,0,0.00302,2.3
636,1.40831,0.03022,0,0.00304,2.3
637,1.40875,0.03059,0,0.00306,2.3
638,1.40932,0.03102,0,0.00308,2.3
639,1.41001,0.03152,0,0.00309,2.3
640,1.41083,0.03207,0,0.00311,2.3
641,1.41178,0.03268,0,0.00313,2.3
642,1.41286,0.03335,0,0.00314,2.3
643,1.41404,0.03405,0,0.00316,2.3
644,1.4153,0.03478,0,0.00318,2.3
645,1.41662,0.03552,0,0.0032,2.3
646,1.41796,0.03626,0,0.00322,2.3
647,1.41929,0.03698,0,0.00324,2.3
648,1.42058,0.03767,0,0.00326,2.3
649,1.4218,0.03831,0,0.00329,2.3
650,1.42295,0.0389,0,0.00332,2.3
651,1.42403,0.03943,0,0.00334,2.3
